template_name,support_type,support_orientation_id,g3_orientation_id,pattern_nx,pattern_ny,layers,support_count,g3_count,length,width,height,weight,support_length,support_width,support_height,g3_length,g3_width,g3_height,volume_bbox,score,source_kind
MPX_G2_2x2_L1_S1_G32_K2_UP8,G2,1,2,2,2,8,32,2,100,70,240,286,50,35,25,50,70,40,1680000,1.017494,lifted
MPX_G2_2x2_L1_S3_G31_K2_UP8,G2,3,1,2,2,8,32,2,70,100,240,286,35,50,25,70,50,40,1680000,1.017494,lifted
MPX_G2_2x2_L1_S1_G32_K2_UP7,G2,1,2,2,2,7,28,2,100,70,215,254,50,35,25,50,70,40,1505000,0.987578,lifted
MPX_G2_2x2_L1_S3_G31_K2_UP7,G2,3,1,2,2,7,28,2,70,100,215,254,35,50,25,70,50,40,1505000,0.987578,lifted
MPX_G2_2x3_L1_S2_G32_K2_UP5,G2,2,2,2,3,5,30,2,100,75,215,270,50,25,35,50,70,40,1612500,0.963354,lifted
MPX_G2_3x2_L1_S2_G31_K2_UP5,G2,2,1,3,2,5,30,2,150,50,215,270,50,25,35,70,50,40,1612500,0.963354,lifted
MPX_G2_2x3_L1_S5_G32_K2_UP5,G2,5,2,2,3,5,30,2,50,150,215,270,25,50,35,50,70,40,1612500,0.963354,lifted
MPX_G2_3x2_L1_S5_G31_K2_UP5,G2,5,1,3,2,5,30,2,75,100,215,270,25,50,35,70,50,40,1612500,0.963354,lifted
MPX_G2_2x2_L1_S1_G32_K2_UP6,G2,1,2,2,2,6,24,2,100,70,190,222,50,35,25,50,70,40,1330000,0.957661,lifted
MPX_G2_2x2_L1_S3_G31_K2_UP6,G2,3,1,2,2,6,24,2,70,100,190,222,35,50,25,70,50,40,1330000,0.957661,lifted
MPX_G2_2x2_L1_S4_G31_K1_UP4,G2,4,1,2,2,4,16,1,70,50,240,143,35,25,50,70,50,40,840000,0.919496,lifted
MPX_G2_2x2_L1_S6_G32_K1_UP4,G2,6,2,2,2,4,16,1,50,70,240,143,25,35,50,50,70,40,840000,0.919496,lifted
