record_type,item_id,type_id,category,x,y,z,length,width,height,weight,orientation_id,rotation,truck_id,support_by,direct_supported_weight,template_name
item,G2_车型2_008_0001,G2,standard,0,0,0,50,35,25,8,1,LWH,车型2_008,,12.0,
item,G5_车型2_008_0001,G5,oriented,0,35,0,40,40,60,18,1,LWH,车型2_008,,18.0,
item,G2_车型2_008_0002,G2,standard,0,75,0,35,50,25,8,3,WLH,车型2_008,,8.0,
item,G2_车型2_008_0003,G2,standard,0,125,0,35,50,25,8,3,WLH,车型2_008,,8.0,
item,G2_车型2_008_0004,G2,standard,0,175,0,35,50,25,8,3,WLH,车型2_008,,8.0,
item,G2_车型2_008_0005,G2,standard,50,0,0,50,35,25,8,1,LWH,车型2_008,,12.0,
item,G5_车型2_008_0002,G5,oriented,50,35,0,40,40,60,18,1,LWH,车型2_008,,18.0,
item,G2_车型2_008_0006,G2,standard,50,75,0,35,50,25,8,3,WLH,车型2_008,,8.0,
item,G2_车型2_008_0007,G2,standard,50,125,0,35,50,25,8,3,WLH,车型2_008,,8.0,
item,G2_车型2_008_0008,G2,standard,50,175,0,35,50,25,8,3,WLH,车型2_008,,8.0,
item,G2_车型2_008_0009,G2,standard,100,0,0,50,35,25,8,1,LWH,车型2_008,,12.0,
item,G5_车型2_008_0003,G5,oriented,100,35,0,40,40,60,18,1,LWH,车型2_008,,18.0,
item,G2_车型2_008_0010,G2,standard,100,75,0,35,50,25,8,3,WLH,车型2_008,,12.0,
item,G2_车型2_008_0011,G2,standard,100,125,0,35,50,25,8,3,WLH,车型2_008,,8.0,
item,G2_车型2_008_0012,G2,standard,100,175,0,35,50,25,8,3,WLH,车型2_008,,12.0,
item,G2_车型2_008_0013,G2,standard,150,0,0,50,35,25,8,1,LWH,车型2_008,,12.0,
item,G5_车型2_008_0004,G5,oriented,150,35,0,40,40,60,18,1,LWH,车型2_008,,18.0,
item,G2_车型2_008_0014,G2,standard,150,75,0,35,50,25,8,3,WLH,车型2_008,,8.0,
item,G2_车型2_008_0015,G2,standard,150,125,0,35,50,25,8,3,WLH,车型2_008,,8.0,
item,G2_车型2_008_0016,G2,standard,150,175,0,35,50,25,8,3,WLH,车型2_008,,8.0,
item,G2_车型2_008_0017,G2,standard,200,0,0,50,35,25,8,1,LWH,车型2_008,,12.0,
item,G5_车型2_008_0005,G5,oriented,200,35,0,40,40,60,18,1,LWH,车型2_008,,18.0,
item,G5_车型2_008_0006,G5,oriented,200,75,0,40,40,60,18,1,LWH,车型2_008,,18.0,
item,G5_车型2_008_0007,G5,oriented,200,115,0,40,40,60,18,1,LWH,车型2_008,,18.0,
item,G5_车型2_008_0008,G5,oriented,200,155,0,40,40,60,18,1,LWH,车型2_008,,18.0,
item,G5_车型2_008_0009,G5,oriented,200,195,0,40,40,60,18,1,LWH,车型2_008,,18.0,
item,G2_车型2_008_0018,G2,standard,250,0,0,50,35,25,8,1,LWH,车型2_008,,12.0,
item,G5_车型2_008_0010,G5,oriented,250,35,0,40,40,60,18,1,LWH,车型2_008,,18.0,
item,G5_车型2_008_0011,G5,oriented,250,75,0,40,40,60,18,1,LWH,车型2_008,,18.0,
item,G5_车型2_008_0012,G5,oriented,250,115,0,40,40,60,18,1,LWH,车型2_008,,18.0,
item,G5_车型2_008_0013,G5,oriented,250,155,0,40,40,60,18,1,LWH,车型2_008,,18.0,
item,G5_车型2_008_0014,G5,oriented,250,195,0,40,40,60,18,1,LWH,车型2_008,,18.0,
item,G2_车型2_008_0019,G2,standard,300,0,0,50,35,25,8,1,LWH,车型2_008,,8.0,
item,G5_车型2_008_0015,G5,oriented,300,35,0,40,40,60,18,1,LWH,车型2_008,,18.0,
item,G5_车型2_008_0016,G5,oriented,300,75,0,40,40,60,18,1,LWH,车型2_008,,18.0,
item,G5_车型2_008_0017,G5,oriented,300,115,0,40,40,60,18,1,LWH,车型2_008,,18.0,
item,G5_车型2_008_0018,G5,oriented,300,155,0,40,40,60,18,1,LWH,车型2_008,,18.0,
item,G5_车型2_008_0019,G5,oriented,300,195,0,40,40,60,18,1,LWH,车型2_008,,18.0,
item,G2_车型2_008_0020,G2,standard,350,0,0,50,35,25,8,1,LWH,车型2_008,,12.0,
item,G3_车型2_008_0001,G3,fragile,350,35,0,50,70,40,15,2,WLH,车型2_008,,0.0,
item,G5_车型2_008_0020,G5,oriented,350,105,0,40,40,60,18,1,LWH,车型2_008,,18.0,
item,G5_车型2_008_0021,G5,oriented,350,145,0,40,40,60,18,1,LWH,车型2_008,,18.0,
item,G5_车型2_008_0022,G5,oriented,350,185,0,40,40,60,18,1,LWH,车型2_008,,18.0,
item,G2_车型2_008_0021,G2,standard,400,0,0,50,35,25,8,1,LWH,车型2_008,,8.0,
item,G3_车型2_008_0002,G3,fragile,400,35,0,50,70,40,15,2,WLH,车型2_008,,0.0,
item,G3_车型2_008_0003,G3,fragile,400,105,0,50,70,40,15,2,WLH,车型2_008,,0.0,
item,G3_车型2_008_0004,G3,fragile,400,175,0,50,70,40,15,2,WLH,车型2_008,,0.0,
item,G2_车型2_008_0022,G2,standard,450,0,0,50,35,25,8,1,LWH,车型2_008,,8.0,
item,G3_车型2_008_0005,G3,fragile,450,35,0,50,70,40,15,2,WLH,车型2_008,,0.0,
item,G5_车型2_008_0023,G5,oriented,450,105,0,40,40,60,18,1,LWH,车型2_008,,18.0,
item,G5_车型2_008_0024,G5,oriented,450,145,0,40,40,60,18,1,LWH,车型2_008,,18.0,
item,G5_车型2_008_0025,G5,oriented,450,185,0,40,40,60,18,1,LWH,车型2_008,,18.0,
item,G2_车型2_008_0023,G2,standard,500,0,0,50,35,25,8,1,LWH,车型2_008,,8.0,
item,G4_车型2_008_0001,G4,oriented,550,0,0,80,60,50,25,1,LWH,车型2_008,,25.0,
item,G4_车型2_008_0002,G4,oriented,550,60,0,80,60,50,25,1,LWH,车型2_008,,25.0,
item,G4_车型2_008_0003,G4,oriented,550,120,0,80,60,50,25,1,LWH,车型2_008,,25.0,
item,G4_车型2_008_0004,G4,oriented,550,180,0,80,60,50,25,1,LWH,车型2_008,,25.0,
item,G2_车型2_008_0024,G2,standard,630,0,0,50,35,25,8,1,LWH,车型2_008,,8.0,
item,G2_车型2_008_0025,G2,standard,500,35,0,50,35,25,8,1,LWH,车型2_008,,8.0,
item,G3_车型2_008_0006,G3,fragile,500,70,0,50,70,40,15,2,WLH,车型2_008,,0.0,
item,G3_车型2_008_0007,G3,fragile,500,140,0,50,70,40,15,2,WLH,车型2_008,,0.0,
item,G2_车型2_008_0026,G2,standard,500,210,0,50,35,25,8,1,LWH,车型2_008,,8.0,
item,G2_车型2_008_0027,G2,standard,630,35,0,50,35,25,8,1,LWH,车型2_008,,8.0,
item,G3_车型2_008_0008,G3,fragile,630,70,0,50,70,40,15,2,WLH,车型2_008,,0.0,
item,G3_车型2_008_0009,G3,fragile,630,140,0,50,70,40,15,2,WLH,车型2_008,,0.0,
item,G2_车型2_008_0028,G2,standard,630,210,0,50,35,25,8,1,LWH,车型2_008,,8.0,
item,G5_车型2_008_0026,G5,oriented,0,35,60,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0001,18.0,
item,G5_车型2_008_0027,G5,oriented,0,35,120,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0026,18.0,
item,G5_车型2_008_0028,G5,oriented,0,35,180,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0027,0.0,
item,G5_车型2_008_0029,G5,oriented,50,35,60,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0002,18.0,
item,G5_车型2_008_0030,G5,oriented,50,35,120,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0029,18.0,
item,G5_车型2_008_0031,G5,oriented,50,35,180,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0030,0.0,
item,G5_车型2_008_0032,G5,oriented,100,35,60,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0003,18.0,
item,G5_车型2_008_0033,G5,oriented,100,35,120,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0032,18.0,
item,G5_车型2_008_0034,G5,oriented,100,35,180,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0033,0.0,
item,G5_车型2_008_0035,G5,oriented,150,35,60,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0004,18.0,
item,G5_车型2_008_0036,G5,oriented,150,35,120,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0035,18.0,
item,G5_车型2_008_0037,G5,oriented,150,35,180,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0036,0.0,
item,G5_车型2_008_0038,G5,oriented,200,35,60,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0005,18.0,
item,G5_车型2_008_0039,G5,oriented,200,35,120,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0038,18.0,
item,G5_车型2_008_0040,G5,oriented,200,35,180,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0039,0.0,
item,G5_车型2_008_0041,G5,oriented,250,35,60,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0010,18.0,
item,G5_车型2_008_0042,G5,oriented,250,35,120,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0041,18.0,
item,G5_车型2_008_0043,G5,oriented,250,35,180,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0042,0.0,
item,G5_车型2_008_0044,G5,oriented,300,35,60,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0015,18.0,
item,G5_车型2_008_0045,G5,oriented,300,35,120,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0044,18.0,
item,G5_车型2_008_0046,G5,oriented,300,35,180,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0045,0.0,
item,G5_车型2_008_0047,G5,oriented,200,75,60,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0006,18.0,
item,G5_车型2_008_0048,G5,oriented,200,75,120,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0047,18.0,
item,G5_车型2_008_0049,G5,oriented,200,75,180,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0048,0.0,
item,G5_车型2_008_0050,G5,oriented,250,75,60,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0011,18.0,
item,G5_车型2_008_0051,G5,oriented,250,75,120,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0050,18.0,
item,G5_车型2_008_0052,G5,oriented,250,75,180,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0051,0.0,
item,G5_车型2_008_0053,G5,oriented,300,75,60,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0016,18.0,
item,G5_车型2_008_0054,G5,oriented,300,75,120,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0053,18.0,
item,G5_车型2_008_0055,G5,oriented,300,75,180,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0054,0.0,
item,G5_车型2_008_0056,G5,oriented,350,105,60,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0020,18.0,
item,G5_车型2_008_0057,G5,oriented,350,105,120,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0056,18.0,
item,G5_车型2_008_0058,G5,oriented,350,105,180,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0057,0.0,
item,G5_车型2_008_0059,G5,oriented,450,105,60,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0023,18.0,
item,G5_车型2_008_0060,G5,oriented,450,105,120,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0059,18.0,
item,G5_车型2_008_0061,G5,oriented,450,105,180,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0060,0.0,
item,G5_车型2_008_0062,G5,oriented,200,115,60,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0007,18.0,
item,G5_车型2_008_0063,G5,oriented,200,115,120,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0062,18.0,
item,G5_车型2_008_0064,G5,oriented,200,115,180,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0063,0.0,
item,G5_车型2_008_0065,G5,oriented,250,115,60,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0012,18.0,
item,G5_车型2_008_0066,G5,oriented,250,115,120,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0065,18.0,
item,G5_车型2_008_0067,G5,oriented,250,115,180,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0066,0.0,
item,G5_车型2_008_0068,G5,oriented,300,115,60,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0017,18.0,
item,G5_车型2_008_0069,G5,oriented,300,115,120,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0068,18.0,
item,G5_车型2_008_0070,G5,oriented,300,115,180,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0069,0.0,
item,G5_车型2_008_0071,G5,oriented,350,145,60,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0021,18.0,
item,G5_车型2_008_0072,G5,oriented,350,145,120,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0071,18.0,
item,G5_车型2_008_0073,G5,oriented,350,145,180,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0072,0.0,
item,G5_车型2_008_0074,G5,oriented,450,145,60,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0024,18.0,
item,G5_车型2_008_0075,G5,oriented,450,145,120,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0074,18.0,
item,G5_车型2_008_0076,G5,oriented,450,145,180,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0075,0.0,
item,G5_车型2_008_0077,G5,oriented,200,155,60,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0008,18.0,
item,G5_车型2_008_0078,G5,oriented,200,155,120,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0077,18.0,
item,G5_车型2_008_0079,G5,oriented,200,155,180,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0078,0.0,
item,G5_车型2_008_0080,G5,oriented,250,155,60,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0013,18.0,
item,G5_车型2_008_0081,G5,oriented,250,155,120,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0080,18.0,
item,G5_车型2_008_0082,G5,oriented,250,155,180,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0081,0.0,
item,G4_车型2_008_0005,G4,oriented,550,0,50,80,60,50,25,1,LWH,车型2_008,G4_车型2_008_0001,25.0,
item,G4_车型2_008_0006,G4,oriented,550,0,100,80,60,50,25,1,LWH,车型2_008,G4_车型2_008_0005,25.0,
item,G4_车型2_008_0007,G4,oriented,550,0,150,80,60,50,25,1,LWH,车型2_008,G4_车型2_008_0006,12.0,
item,G5_车型2_008_0083,G5,oriented,300,155,60,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0018,18.0,
item,G5_车型2_008_0084,G5,oriented,300,155,120,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0083,18.0,
item,G5_车型2_008_0085,G5,oriented,300,155,180,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0084,0.0,
item,G4_车型2_008_0008,G4,oriented,550,60,50,80,60,50,25,1,LWH,车型2_008,G4_车型2_008_0002,25.0,
item,G4_车型2_008_0009,G4,oriented,550,60,100,80,60,50,25,1,LWH,车型2_008,G4_车型2_008_0008,25.0,
item,G4_车型2_008_0010,G4,oriented,550,60,150,80,60,50,25,1,LWH,车型2_008,G4_车型2_008_0009,12.0,
item,G5_车型2_008_0086,G5,oriented,350,185,60,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0022,18.0,
item,G5_车型2_008_0087,G5,oriented,350,185,120,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0086,18.0,
item,G5_车型2_008_0088,G5,oriented,350,185,180,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0087,0.0,
item,G5_车型2_008_0089,G5,oriented,450,185,60,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0025,18.0,
item,G5_车型2_008_0090,G5,oriented,450,185,120,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0089,18.0,
item,G5_车型2_008_0091,G5,oriented,450,185,180,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0090,0.0,
item,G4_车型2_008_0011,G4,oriented,550,120,50,80,60,50,25,1,LWH,车型2_008,G4_车型2_008_0003,25.0,
item,G4_车型2_008_0012,G4,oriented,550,120,100,80,60,50,25,1,LWH,车型2_008,G4_车型2_008_0011,25.0,
item,G4_车型2_008_0013,G4,oriented,550,120,150,80,60,50,25,1,LWH,车型2_008,G4_车型2_008_0012,12.0,
item,G5_车型2_008_0092,G5,oriented,200,195,60,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0009,18.0,
item,G5_车型2_008_0093,G5,oriented,200,195,120,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0092,18.0,
item,G5_车型2_008_0094,G5,oriented,200,195,180,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0093,0.0,
item,G4_车型2_008_0014,G4,oriented,550,180,50,80,60,50,25,1,LWH,车型2_008,G4_车型2_008_0004,25.0,
item,G4_车型2_008_0015,G4,oriented,550,180,100,80,60,50,25,1,LWH,车型2_008,G4_车型2_008_0014,25.0,
item,G4_车型2_008_0016,G4,oriented,550,180,150,80,60,50,25,1,LWH,车型2_008,G4_车型2_008_0015,12.0,
item,G5_车型2_008_0095,G5,oriented,250,195,60,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0014,18.0,
item,G5_车型2_008_0096,G5,oriented,250,195,120,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0095,18.0,
item,G5_车型2_008_0097,G5,oriented,250,195,180,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0096,0.0,
item,G5_车型2_008_0098,G5,oriented,300,195,60,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0019,18.0,
item,G5_车型2_008_0099,G5,oriented,300,195,120,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0098,18.0,
item,G5_车型2_008_0100,G5,oriented,300,195,180,40,40,60,18,1,LWH,车型2_008,G5_车型2_008_0099,0.0,
item,G1_车型2_008_0001,G1,standard,550,0,200,60,40,30,12,1,LWH,车型2_008,G4_车型2_008_0007,0.0,
item,G1_车型2_008_0002,G1,standard,550,60,200,60,40,30,12,1,LWH,车型2_008,G4_车型2_008_0010,0.0,
item,G1_车型2_008_0003,G1,standard,550,120,200,60,40,30,12,1,LWH,车型2_008,G4_车型2_008_0013,0.0,
item,G1_车型2_008_0004,G1,standard,550,180,200,60,40,30,12,1,LWH,车型2_008,G4_车型2_008_0016,0.0,
item,G1_车型2_008_0005,G1,standard,0,0,25,40,30,60,12,4,WHL,车型2_008,G2_车型2_008_0001,12.0,
item,G1_车型2_008_0006,G1,standard,0,0,85,40,30,60,12,4,WHL,车型2_008,G1_车型2_008_0005,12.0,
item,G1_车型2_008_0007,G1,standard,0,0,145,40,30,60,12,4,WHL,车型2_008,G1_车型2_008_0006,0.0,
item,G1_车型2_008_0008,G1,standard,50,0,25,40,30,60,12,4,WHL,车型2_008,G2_车型2_008_0005,12.0,
item,G1_车型2_008_0009,G1,standard,50,0,85,40,30,60,12,4,WHL,车型2_008,G1_车型2_008_0008,12.0,
item,G1_车型2_008_0010,G1,standard,50,0,145,40,30,60,12,4,WHL,车型2_008,G1_车型2_008_0009,0.0,
item,G1_车型2_008_0011,G1,standard,100,0,25,40,30,60,12,4,WHL,车型2_008,G2_车型2_008_0009,12.0,
item,G1_车型2_008_0012,G1,standard,100,0,85,40,30,60,12,4,WHL,车型2_008,G1_车型2_008_0011,12.0,
item,G1_车型2_008_0013,G1,standard,100,0,145,40,30,60,12,4,WHL,车型2_008,G1_车型2_008_0012,0.0,
item,G1_车型2_008_0014,G1,standard,150,0,25,40,30,60,12,4,WHL,车型2_008,G2_车型2_008_0013,12.0,
item,G1_车型2_008_0015,G1,standard,150,0,85,40,30,60,12,4,WHL,车型2_008,G1_车型2_008_0014,12.0,
item,G1_车型2_008_0016,G1,standard,150,0,145,40,30,60,12,4,WHL,车型2_008,G1_车型2_008_0015,0.0,
item,G1_车型2_008_0017,G1,standard,200,0,25,40,30,60,12,4,WHL,车型2_008,G2_车型2_008_0017,12.0,
item,G1_车型2_008_0018,G1,standard,200,0,85,40,30,60,12,4,WHL,车型2_008,G1_车型2_008_0017,12.0,
item,G1_车型2_008_0019,G1,standard,200,0,145,40,30,60,12,4,WHL,车型2_008,G1_车型2_008_0018,0.0,
item,G1_车型2_008_0020,G1,standard,250,0,25,40,30,60,12,4,WHL,车型2_008,G2_车型2_008_0018,12.0,
item,G1_车型2_008_0021,G1,standard,250,0,85,40,30,60,12,4,WHL,车型2_008,G1_车型2_008_0020,12.0,
item,G1_车型2_008_0022,G1,standard,250,0,145,40,30,60,12,4,WHL,车型2_008,G1_车型2_008_0021,0.0,
item,G2_车型2_008_0029,G2,standard,300,0,25,50,35,25,8,1,LWH,车型2_008,G2_车型2_008_0019,8.0,
item,G2_车型2_008_0030,G2,standard,300,0,50,50,35,25,8,1,LWH,车型2_008,G2_车型2_008_0029,12.0,
item,G1_车型2_008_0023,G1,standard,300,0,75,40,30,60,12,4,WHL,车型2_008,G2_车型2_008_0030,12.0,
item,G1_车型2_008_0024,G1,standard,300,0,135,40,30,60,12,4,WHL,车型2_008,G1_车型2_008_0023,8.0,
item,G2_车型2_008_0031,G2,standard,300,0,195,35,25,50,8,4,WHL,车型2_008,G1_车型2_008_0024,0.0,
item,G1_车型2_008_0025,G1,standard,350,0,25,40,30,60,12,4,WHL,车型2_008,G2_车型2_008_0020,12.0,
item,G1_车型2_008_0026,G1,standard,350,0,85,40,30,60,12,4,WHL,车型2_008,G1_车型2_008_0025,12.0,
item,G1_车型2_008_0027,G1,standard,350,0,145,40,30,60,12,4,WHL,车型2_008,G1_车型2_008_0026,0.0,
item,G2_车型2_008_0032,G2,standard,400,0,25,50,35,25,8,1,LWH,车型2_008,G2_车型2_008_0021,8.0,
item,G2_车型2_008_0033,G2,standard,450,0,25,50,35,25,8,1,LWH,车型2_008,G2_车型2_008_0022,8.0,
item,G2_车型2_008_0034,G2,standard,500,0,25,50,35,25,8,1,LWH,车型2_008,G2_车型2_008_0023,8.0,
item,G2_车型2_008_0035,G2,standard,630,0,25,50,35,25,8,1,LWH,车型2_008,G2_车型2_008_0024,8.0,
item,G2_车型2_008_0036,G2,standard,400,0,50,50,35,25,8,1,LWH,车型2_008,G2_车型2_008_0032,12.0,
item,G2_车型2_008_0037,G2,standard,450,0,50,50,35,25,8,1,LWH,车型2_008,G2_车型2_008_0033,12.0,
item,G2_车型2_008_0038,G2,standard,500,0,50,50,35,25,8,1,LWH,车型2_008,G2_车型2_008_0034,12.0,
item,G2_车型2_008_0039,G2,standard,630,0,50,50,35,25,8,1,LWH,车型2_008,G2_车型2_008_0035,12.0,
item,G1_车型2_008_0028,G1,standard,400,0,75,40,30,60,12,4,WHL,车型2_008,G2_车型2_008_0036,12.0,
item,G1_车型2_008_0029,G1,standard,400,0,135,40,30,60,12,4,WHL,车型2_008,G1_车型2_008_0028,8.0,
