vehicle_id,space_utilization,weight_utilization,fullness_score,actual_counts,loaded_weight_kg,loaded_volume_cm3,module_count
车型2_001,0.554335,0.3801,0.505549,"{'G1': 66, 'G5': 139, 'G4': 16, 'G3': 5, 'G2': 4}",3801.0,22811000,0
车型2_002,0.842353,0.3886,0.715302,"{'G4': 128, 'G1': 35, 'G5': 13, 'G2': 4}",3886.0,34663000,0
车型2_003,0.26817,0.1589,0.237574,"{'G2': 19, 'G3': 35, 'G1': 55, 'G5': 14}",1589.0,11035250,0
车型2_004,0.358182,0.2248,0.320835,"{'G2': 35, 'G3': 28, 'G1': 129}",2248.0,14739250,0
车型2_005,0.340624,0.2224,0.307521,"{'G2': 77, 'G3': 20, 'G1': 109}",2224.0,14016750,0
车型2_006,0.346104,0.2277,0.312951,"{'G2': 87, 'G3': 19, 'G1': 108}",2277.0,14242250,0
车型2_007,0.416183,0.2829,0.378864,"{'G2': 120, 'G3': 19, 'G5': 24, 'G1': 96}",2829.0,17126000,0
车型2_008,0.567197,0.3831,0.515649,"{'G2': 79, 'G5': 100, 'G3': 9, 'G4': 16, 'G1': 72}",3831.0,23340250,0
车型2_009,0.86649,0.4056,0.737441,"{'G4': 128, 'G2': 47, 'G1': 40}",4056.0,35656250,0
车型2_010,0.344695,0.2218,0.310284,"{'G2': 47, 'G3': 34, 'G5': 52, 'G1': 33}",2218.0,14184250,0
车型2_011,0.311092,0.1914,0.277578,"{'G2': 90, 'G3': 34, 'G1': 57}",1914.0,12801500,0
车型2_012,0.481182,0.3409,0.441903,"{'G2': 221, 'G3': 23, 'G5': 72}",3409.0,19800750,0
车型2_013,0.853325,0.432,0.735354,"{'G4': 112, 'G2': 118, 'G5': 32}",4320.0,35114500,0
车型2_014,0.290132,0.1868,0.261199,"{'G3': 32, 'G5': 54, 'G2': 52}",1868.0,11939000,0
车型2_015,0.132685,0.0585,0.111913,{'G3': 39},585.0,5460000,0
车型2_016,0.010207,0.0045,0.008609,{'G3': 3},45.0,420000,0
