record_type,item_id,type_id,category,x,y,z,length,width,height,weight,orientation_id,rotation,truck_id,support_by,direct_supported_weight,template_name
item,G4_车型1_001_0001,G4,oriented,0,0,0,80,60,50,25,1,LWH,车型1_001,,25.0,
item,G1_车型1_001_0001,G1,standard,50,60,0,30,60,40,12,5,HLW,车型1_001,,12.0,
item,G1_车型1_001_0002,G1,standard,50,120,0,30,60,40,12,5,HLW,车型1_001,,12.0,
item,G4_车型1_001_0002,G4,oriented,80,0,0,80,60,50,25,1,LWH,车型1_001,,25.0,
item,G1_车型1_001_0003,G1,standard,130,60,0,30,60,40,12,5,HLW,车型1_001,,12.0,
item,G1_车型1_001_0004,G1,standard,130,120,0,30,60,40,12,5,HLW,车型1_001,,12.0,
item,G4_车型1_001_0003,G4,oriented,160,0,0,80,60,50,25,1,LWH,车型1_001,,25.0,
item,G1_车型1_001_0005,G1,standard,360,180,0,60,30,40,12,2,LHW,车型1_001,,12.0,
item,G1_车型1_001_0006,G1,standard,210,60,0,30,60,40,12,5,HLW,车型1_001,,12.0,
item,G1_车型1_001_0007,G1,standard,210,120,0,30,60,40,12,5,HLW,车型1_001,,12.0,
item,G1_车型1_001_0008,G1,standard,240,180,0,60,30,40,12,2,LHW,车型1_001,,12.0,
item,G1_车型1_001_0009,G1,standard,300,180,0,60,30,40,12,2,LHW,车型1_001,,12.0,
item,G4_车型1_001_0004,G4,oriented,0,0,50,80,60,50,25,1,LWH,车型1_001,G4_车型1_001_0001,25.0,
item,G4_车型1_001_0005,G4,oriented,0,0,100,80,60,50,25,1,LWH,车型1_001,G4_车型1_001_0004,25.0,
item,G4_车型1_001_0006,G4,oriented,0,0,150,80,60,50,25,1,LWH,车型1_001,G4_车型1_001_0005,0.0,
item,G4_车型1_001_0007,G4,oriented,80,0,50,80,60,50,25,1,LWH,车型1_001,G4_车型1_001_0002,25.0,
item,G4_车型1_001_0008,G4,oriented,80,0,100,80,60,50,25,1,LWH,车型1_001,G4_车型1_001_0007,25.0,
item,G4_车型1_001_0009,G4,oriented,80,0,150,80,60,50,25,1,LWH,车型1_001,G4_车型1_001_0008,0.0,
item,G4_车型1_001_0010,G4,oriented,160,0,50,80,60,50,25,1,LWH,车型1_001,G4_车型1_001_0003,25.0,
item,G4_车型1_001_0011,G4,oriented,160,0,100,80,60,50,25,1,LWH,车型1_001,G4_车型1_001_0010,25.0,
item,G4_车型1_001_0012,G4,oriented,160,0,150,80,60,50,25,1,LWH,车型1_001,G4_车型1_001_0011,0.0,
item,G1_车型1_001_0010,G1,standard,50,60,40,30,60,40,12,5,HLW,车型1_001,G1_车型1_001_0001,12.0,
item,G1_车型1_001_0011,G1,standard,50,60,80,30,60,40,12,5,HLW,车型1_001,G1_车型1_001_0010,12.0,
item,G1_车型1_001_0012,G1,standard,50,60,120,30,60,40,12,5,HLW,车型1_001,G1_车型1_001_0011,12.0,
item,G1_车型1_001_0013,G1,standard,50,60,160,30,60,40,12,5,HLW,车型1_001,G1_车型1_001_0012,0.0,
item,G1_车型1_001_0014,G1,standard,130,60,40,30,60,40,12,5,HLW,车型1_001,G1_车型1_001_0003,12.0,
item,G1_车型1_001_0015,G1,standard,130,60,80,30,60,40,12,5,HLW,车型1_001,G1_车型1_001_0014,12.0,
item,G1_车型1_001_0016,G1,standard,130,60,120,30,60,40,12,5,HLW,车型1_001,G1_车型1_001_0015,12.0,
item,G1_车型1_001_0017,G1,standard,130,60,160,30,60,40,12,5,HLW,车型1_001,G1_车型1_001_0016,0.0,
item,G1_车型1_001_0018,G1,standard,210,60,40,30,60,40,12,5,HLW,车型1_001,G1_车型1_001_0006,12.0,
item,G1_车型1_001_0019,G1,standard,210,60,80,30,60,40,12,5,HLW,车型1_001,G1_车型1_001_0018,12.0,
item,G1_车型1_001_0020,G1,standard,210,60,120,30,60,40,12,5,HLW,车型1_001,G1_车型1_001_0019,12.0,
item,G1_车型1_001_0021,G1,standard,210,60,160,30,60,40,12,5,HLW,车型1_001,G1_车型1_001_0020,0.0,
item,G1_车型1_001_0022,G1,standard,50,120,40,30,60,40,12,5,HLW,车型1_001,G1_车型1_001_0002,12.0,
item,G1_车型1_001_0023,G1,standard,50,120,80,30,60,40,12,5,HLW,车型1_001,G1_车型1_001_0022,12.0,
item,G1_车型1_001_0024,G1,standard,50,120,120,30,60,40,12,5,HLW,车型1_001,G1_车型1_001_0023,12.0,
item,G1_车型1_001_0025,G1,standard,50,120,160,30,60,40,12,5,HLW,车型1_001,G1_车型1_001_0024,0.0,
item,G1_车型1_001_0026,G1,standard,130,120,40,30,60,40,12,5,HLW,车型1_001,G1_车型1_001_0004,12.0,
item,G1_车型1_001_0027,G1,standard,130,120,80,30,60,40,12,5,HLW,车型1_001,G1_车型1_001_0026,12.0,
