item_id,type_id,category,x,y,z,length,width,height,weight,orientation_id,rotation,truck_id,source_token,support_by,direct_supported_weight
G3_车型1_009_0001,G3,fragile,0,0,0,50,70,40,15,2,WLH,车型1_009,G3#0138,,0.0
G3_车型1_009_0002,G3,fragile,0,70,0,50,70,40,15,2,WLH,车型1_009,G3#0144,,0.0
G3_车型1_009_0003,G3,fragile,0,140,0,50,70,40,15,2,WLH,车型1_009,G3#0260,,0.0
G3_车型1_009_0004,G3,fragile,50,0,0,50,70,40,15,2,WLH,车型1_009,G3#0036,,0.0
G3_车型1_009_0005,G3,fragile,50,70,0,50,70,40,15,2,WLH,车型1_009,G3#0068,,0.0
G3_车型1_009_0006,G3,fragile,50,140,0,50,70,40,15,2,WLH,车型1_009,G3#0037,,0.0
G3_车型1_009_0007,G3,fragile,100,0,0,50,70,40,15,2,WLH,车型1_009,G3#0283,,0.0
G3_车型1_009_0008,G3,fragile,100,70,0,50,70,40,15,2,WLH,车型1_009,G3#0165,,0.0
G3_车型1_009_0009,G3,fragile,100,140,0,50,70,40,15,2,WLH,车型1_009,G3#0118,,0.0
G3_车型1_009_0010,G3,fragile,150,0,0,50,70,40,15,2,WLH,车型1_009,G3#0128,,0.0
G3_车型1_009_0011,G3,fragile,150,70,0,50,70,40,15,2,WLH,车型1_009,G3#0168,,0.0
G3_车型1_009_0012,G3,fragile,150,140,0,50,70,40,15,2,WLH,车型1_009,G3#0200,,0.0
G3_车型1_009_0013,G3,fragile,200,0,0,50,70,40,15,2,WLH,车型1_009,G3#0204,,0.0
G3_车型1_009_0014,G3,fragile,200,70,0,50,70,40,15,2,WLH,车型1_009,G3#0265,,0.0
G3_车型1_009_0015,G3,fragile,200,140,0,50,70,40,15,2,WLH,车型1_009,G3#0146,,0.0
G3_车型1_009_0016,G3,fragile,250,0,0,70,50,40,15,1,LWH,车型1_009,G3#0055,,0.0
G3_车型1_009_0017,G3,fragile,250,50,0,70,50,40,15,1,LWH,车型1_009,G3#0290,,0.0
G3_车型1_009_0018,G3,fragile,250,100,0,70,50,40,15,1,LWH,车型1_009,G3#0279,,0.0
G3_车型1_009_0019,G3,fragile,250,150,0,70,50,40,15,1,LWH,车型1_009,G3#0103,,0.0
G3_车型1_009_0020,G3,fragile,320,0,0,70,50,40,15,1,LWH,车型1_009,G3#0081,,0.0
G3_车型1_009_0021,G3,fragile,320,50,0,70,50,40,15,1,LWH,车型1_009,G3#0009,,0.0
G3_车型1_009_0022,G3,fragile,320,100,0,70,50,40,15,1,LWH,车型1_009,G3#0249,,0.0
G3_车型1_009_0023,G3,fragile,320,150,0,70,50,40,15,1,LWH,车型1_009,G3#0015,,0.0
