vehicle_id,space_utilization,weight_utilization,fullness_score,actual_counts,loaded_weight_kg,loaded_volume_cm3
车型1_001,0.168239,0.0575,0.137232,{'G3': 23},345.0,3220000
车型1_002,0.168239,0.0575,0.137232,{'G3': 23},345.0,3220000
车型1_003,0.168239,0.0575,0.137232,{'G3': 23},345.0,3220000
车型1_004,0.168239,0.0575,0.137232,{'G3': 23},345.0,3220000
车型1_005,0.168239,0.0575,0.137232,{'G3': 23},345.0,3220000
车型1_006,0.168239,0.0575,0.137232,{'G3': 23},345.0,3220000
车型1_007,0.168239,0.0575,0.137232,{'G3': 23},345.0,3220000
车型1_008,0.168239,0.0575,0.137232,{'G3': 23},345.0,3220000
车型1_009,0.168239,0.0575,0.137232,{'G3': 23},345.0,3220000
车型1_010,0.168239,0.0575,0.137232,{'G3': 23},345.0,3220000
车型1_011,0.168239,0.0575,0.137232,{'G3': 23},345.0,3220000
车型1_012,0.168239,0.0575,0.137232,{'G3': 23},345.0,3220000
车型1_013,0.168239,0.0575,0.137232,{'G3': 23},345.0,3220000
车型1_014,0.609214,0.2025,0.495334,"{'G3': 1, 'G4': 48}",1215.0,11660000
车型1_015,0.752375,0.25,0.61171,{'G4': 60},1500.0,14400000
车型1_016,0.752375,0.25,0.61171,{'G4': 60},1500.0,14400000
车型1_017,0.752375,0.25,0.61171,{'G4': 60},1500.0,14400000
车型1_018,0.752375,0.25,0.61171,{'G4': 60},1500.0,14400000
车型1_019,0.752375,0.25,0.61171,{'G4': 60},1500.0,14400000
车型1_020,0.702216,0.246667,0.574662,"{'G4': 52, 'G5': 10}",1480.0,13440000
车型1_021,0.752375,0.45,0.66771,{'G5': 150},2700.0,14400000
车型1_022,0.752375,0.45,0.66771,{'G5': 150},2700.0,14400000
车型1_023,0.752375,0.45,0.66771,{'G5': 150},2700.0,14400000
车型1_024,0.885294,0.484,0.772932,"{'G5': 40, 'G1': 182}",2904.0,16944000
车型1_025,0.936706,0.498,0.813869,{'G1': 249},2988.0,17928000
车型1_026,0.936706,0.498,0.813869,{'G1': 249},2988.0,17928000
车型1_027,0.794304,0.44,0.695099,"{'G1': 120, 'G2': 150}",2640.0,15202500
车型1_028,0.87777,0.512,0.775355,{'G2': 384},3072.0,16800000
车型1_029,0.87777,0.512,0.775355,{'G2': 384},3072.0,16800000
车型1_030,0.187441,0.109333,0.165571,{'G2': 82},656.0,3587500
