record_type,item_id,type_id,category,x,y,z,length,width,height,weight,orientation_id,rotation,truck_id,support_by,direct_supported_weight,template_name
item,G5_车型1_024_0001,G5,oriented,0,0,0,40,40,60,18,1,LWH,车型1_024,,18.0,
item,G5_车型1_024_0002,G5,oriented,0,40,0,40,40,60,18,1,LWH,车型1_024,,0.0,
item,G5_车型1_024_0003,G5,oriented,0,80,0,40,40,60,18,1,LWH,车型1_024,,0.0,
item,G5_车型1_024_0004,G5,oriented,0,120,0,40,40,60,18,1,LWH,车型1_024,,0.0,
item,G5_车型1_024_0005,G5,oriented,0,160,0,40,40,60,18,1,LWH,车型1_024,,0.0,
item,G5_车型1_024_0006,G5,oriented,40,0,0,40,40,60,18,1,LWH,车型1_024,,18.0,
item,G5_车型1_024_0007,G5,oriented,40,40,0,40,40,60,18,1,LWH,车型1_024,,0.0,
item,G5_车型1_024_0008,G5,oriented,40,80,0,40,40,60,18,1,LWH,车型1_024,,0.0,
item,G5_车型1_024_0009,G5,oriented,40,120,0,40,40,60,18,1,LWH,车型1_024,,0.0,
item,G5_车型1_024_0010,G5,oriented,40,160,0,40,40,60,18,1,LWH,车型1_024,,0.0,
item,G3_车型1_024_0001,G3,fragile,80,0,0,70,50,40,15,1,LWH,车型1_024,,0.0,
item,G3_车型1_024_0002,G3,fragile,80,50,0,70,50,40,15,1,LWH,车型1_024,,0.0,
item,G3_车型1_024_0003,G3,fragile,80,100,0,70,50,40,15,1,LWH,车型1_024,,0.0,
item,G3_车型1_024_0004,G3,fragile,80,150,0,70,50,40,15,1,LWH,车型1_024,,0.0,
item,G5_车型1_024_0011,G5,oriented,150,0,0,40,40,60,18,1,LWH,车型1_024,,0.0,
item,G5_车型1_024_0012,G5,oriented,150,40,0,40,40,60,18,1,LWH,车型1_024,,0.0,
item,G5_车型1_024_0013,G5,oriented,150,80,0,40,40,60,18,1,LWH,车型1_024,,0.0,
item,G5_车型1_024_0014,G5,oriented,150,120,0,40,40,60,18,1,LWH,车型1_024,,0.0,
item,G5_车型1_024_0015,G5,oriented,150,160,0,40,40,60,18,1,LWH,车型1_024,,0.0,
item,G3_车型1_024_0005,G3,fragile,190,0,0,70,50,40,15,1,LWH,车型1_024,,0.0,
item,G3_车型1_024_0006,G3,fragile,190,50,0,70,50,40,15,1,LWH,车型1_024,,0.0,
item,G3_车型1_024_0007,G3,fragile,190,100,0,70,50,40,15,1,LWH,车型1_024,,0.0,
item,G3_车型1_024_0008,G3,fragile,190,150,0,70,50,40,15,1,LWH,车型1_024,,0.0,
item,G5_车型1_024_0016,G5,oriented,260,0,0,40,40,60,18,1,LWH,车型1_024,,0.0,
item,G3_车型1_024_0009,G3,fragile,300,0,0,70,50,40,15,1,LWH,车型1_024,,0.0,
item,G3_车型1_024_0010,G3,fragile,300,50,0,70,50,40,15,1,LWH,车型1_024,,0.0,
item,G3_车型1_024_0011,G3,fragile,370,0,0,50,70,40,15,2,WLH,车型1_024,,0.0,
item,G3_车型1_024_0012,G3,fragile,300,100,0,70,50,40,15,1,LWH,车型1_024,,0.0,
item,G3_车型1_024_0013,G3,fragile,300,150,0,70,50,40,15,1,LWH,车型1_024,,0.0,
item,G3_车型1_024_0014,G3,fragile,370,70,0,50,70,40,15,2,WLH,车型1_024,,0.0,
item,G3_车型1_024_0015,G3,fragile,370,140,0,50,70,40,15,2,WLH,车型1_024,,0.0,
item,G5_车型1_024_0017,G5,oriented,260,40,0,40,40,60,18,1,LWH,车型1_024,,0.0,
item,G5_车型1_024_0018,G5,oriented,260,80,0,40,40,60,18,1,LWH,车型1_024,,0.0,
item,G5_车型1_024_0019,G5,oriented,260,120,0,40,40,60,18,1,LWH,车型1_024,,0.0,
item,G5_车型1_024_0020,G5,oriented,260,160,0,40,40,60,18,1,LWH,车型1_024,,0.0,
item,G5_车型1_024_0021,G5,oriented,0,0,60,40,40,60,18,1,LWH,车型1_024,G5_车型1_024_0001,18.0,
item,G5_车型1_024_0022,G5,oriented,0,0,120,40,40,60,18,1,LWH,车型1_024,G5_车型1_024_0021,0.0,
item,G5_车型1_024_0023,G5,oriented,40,0,60,40,40,60,18,1,LWH,车型1_024,G5_车型1_024_0006,18.0,
item,G5_车型1_024_0024,G5,oriented,40,0,120,40,40,60,18,1,LWH,车型1_024,G5_车型1_024_0023,0.0,
