vehicle_id,space_utilization,weight_utilization,fullness_score,actual_counts,loaded_weight_kg,loaded_volume_cm3,module_count
车型2_001,0.686291,0.4451,0.618757,"{'G1': 143, 'G3': 21, 'G2': 76, 'G5': 84, 'G4': 12}",4451.0,28241000,14
车型2_002,0.597227,0.3459,0.526855,"{'G3': 29, 'G2': 112, 'G5': 16, 'G1': 95, 'G4': 28}",3459.0,24576000,12
车型2_003,0.645076,0.3371,0.558843,"{'G3': 21, 'G2': 60, 'G5': 8, 'G1': 86, 'G4': 56}",3371.0,26545000,10
车型2_004,0.684316,0.4529,0.61952,"{'G2': 49, 'G5': 140, 'G3': 11, 'G4': 24, 'G1': 71}",4529.0,28159750,5
车型2_005,0.818927,0.4011,0.701935,"{'G4': 108, 'G1': 43, 'G3': 5, 'G2': 36, 'G5': 24}",4011.0,33699000,5
车型2_006,0.307769,0.1829,0.272806,"{'G2': 61, 'G3': 39, 'G1': 63}",1829.0,12664750,6
车型2_007,0.425903,0.2634,0.380402,"{'G3': 38, 'G1': 88, 'G2': 72, 'G5': 24}",2634.0,17526000,11
车型2_008,0.417695,0.2662,0.375277,"{'G2': 47, 'G3': 30, 'G5': 48, 'G1': 81}",2662.0,17188250,6
车型2_009,0.447859,0.3033,0.407383,"{'G2': 122, 'G4': 8, 'G1': 63, 'G3': 11, 'G5': 52}",3033.0,18429500,1
车型2_010,0.704772,0.3362,0.601572,"{'G4': 88, 'G1': 67, 'G3': 10, 'G2': 26}",3362.0,29001500,5
车型2_011,0.394366,0.2623,0.357388,"{'G2': 239, 'G3': 33, 'G5': 12}",2623.0,16228250,3
车型2_012,0.7642,0.4356,0.672192,"{'G4': 76, 'G5': 92, 'G2': 100}",4356.0,31447000,0
车型2_013,0.132685,0.0585,0.111913,{'G3': 39},585.0,5460000,0
车型2_014,0.044228,0.0195,0.037304,{'G3': 13},195.0,1820000,0
