record_type,item_id,type_id,category,x,y,z,length,width,height,weight,orientation_id,rotation,truck_id,support_by,direct_supported_weight,template_name
item,G4_车型1_007_0001,G4,oriented,0,0,0,80,60,50,25,1,LWH,车型1_007,,25.0,
item,G5_车型1_007_0001,G5,oriented,180,125,0,40,40,60,18,1,LWH,车型1_007,,18.0,
item,G5_车型1_007_0002,G5,oriented,180,165,0,40,40,60,18,1,LWH,车型1_007,,18.0,
item,G5_车型1_007_0003,G5,oriented,180,125,60,40,40,60,18,1,LWH,车型1_007,G5_车型1_007_0001,18.0,
item,G5_车型1_007_0004,G5,oriented,180,125,120,40,40,60,18,1,LWH,车型1_007,G5_车型1_007_0003,0.0,
item,G5_车型1_007_0005,G5,oriented,180,165,60,40,40,60,18,1,LWH,车型1_007,G5_车型1_007_0002,18.0,
item,G5_车型1_007_0006,G5,oriented,180,165,120,40,40,60,18,1,LWH,车型1_007,G5_车型1_007_0005,0.0,
item,G1_车型1_007_0001,G1,standard,230,180,0,60,30,40,12,2,LHW,车型1_007,,12.0,
item,G1_车型1_007_0002,G1,standard,290,180,0,60,30,40,12,2,LHW,车型1_007,,12.0,
item,G1_车型1_007_0003,G1,standard,350,180,0,60,30,40,12,2,LHW,车型1_007,,12.0,
item,G4_车型1_007_0002,G4,oriented,0,0,50,80,60,50,25,1,LWH,车型1_007,G4_车型1_007_0001,25.0,
item,G4_车型1_007_0003,G4,oriented,0,0,100,80,60,50,25,1,LWH,车型1_007,G4_车型1_007_0002,25.0,
item,G4_车型1_007_0004,G4,oriented,0,0,150,80,60,50,25,1,LWH,车型1_007,G4_车型1_007_0003,0.0,
item,G1_车型1_007_0004,G1,standard,230,180,40,60,30,40,12,2,LHW,车型1_007,G1_车型1_007_0001,12.0,
item,G1_车型1_007_0005,G1,standard,230,180,80,60,30,40,12,2,LHW,车型1_007,G1_车型1_007_0004,12.0,
item,G1_车型1_007_0006,G1,standard,230,180,120,60,30,40,12,2,LHW,车型1_007,G1_车型1_007_0005,12.0,
item,G1_车型1_007_0007,G1,standard,230,180,160,60,30,40,12,2,LHW,车型1_007,G1_车型1_007_0006,0.0,
item,G1_车型1_007_0008,G1,standard,290,180,40,60,30,40,12,2,LHW,车型1_007,G1_车型1_007_0002,12.0,
item,G1_车型1_007_0009,G1,standard,290,180,80,60,30,40,12,2,LHW,车型1_007,G1_车型1_007_0008,12.0,
item,G1_车型1_007_0010,G1,standard,290,180,120,60,30,40,12,2,LHW,车型1_007,G1_车型1_007_0009,12.0,
item,G1_车型1_007_0011,G1,standard,290,180,160,60,30,40,12,2,LHW,车型1_007,G1_车型1_007_0010,0.0,
item,G1_车型1_007_0012,G1,standard,350,180,40,60,30,40,12,2,LHW,车型1_007,G1_车型1_007_0003,12.0,
item,G1_车型1_007_0013,G1,standard,350,180,80,60,30,40,12,2,LHW,车型1_007,G1_车型1_007_0012,12.0,
item,G1_车型1_007_0014,G1,standard,350,180,120,60,30,40,12,2,LHW,车型1_007,G1_车型1_007_0013,12.0,
item,G1_车型1_007_0015,G1,standard,350,180,160,60,30,40,12,2,LHW,车型1_007,G1_车型1_007_0014,0.0,
module,MODULE_车型1_007_0001,MODULE_G3,composite,0,60,0,70,100,215,254,,,车型1_007,,,MPV2_base_G2_2x2_L4_S3_G31_K2_UP7
module,MODULE_车型1_007_0002,MODULE_G3,composite,0,160,0,70,50,190,111,,,车型1_007,,,MPV2_base_G2_2x2_L3_S4_G31_K1
module,MODULE_车型1_007_0003,MODULE_G3,composite,80,0,0,150,50,215,270,,,车型1_007,,,MPV2_ext_G2_3x2_L4_S2_G31_K2_UP5
module,MODULE_车型1_007_0004,MODULE_G3,composite,80,50,0,100,70,215,254,,,车型1_007,,,MPV2_base_G2_2x2_L4_S1_G32_K2_UP7
module,MODULE_车型1_007_0005,MODULE_G3,composite,80,120,0,100,70,215,254,,,车型1_007,,,MPV2_base_G2_2x2_L4_S1_G32_K2_UP7
module,MODULE_车型1_007_0006,MODULE_G3,composite,180,50,0,50,75,215,135,,,车型1_007,,,MPV2_ext_G2_1x3_L4_S2_G32_K1_UP5
module,MODULE_车型1_007_0007,MODULE_G3,composite,230,0,0,180,60,200,318,,,车型1_007,,,MPV2_ext_G1_3x2_L4_S2_G31_K2
module,MODULE_车型1_007_0008,MODULE_G3,composite,230,60,0,180,60,200,318,,,车型1_007,,,MPV2_ext_G1_3x2_L4_S2_G31_K2
module,MODULE_车型1_007_0009,MODULE_G3,composite,230,120,0,180,60,200,318,,,车型1_007,,,MPV2_ext_G1_3x2_L4_S2_G31_K2
