vehicle_id,space_utilization,weight_utilization,fullness_score,actual_counts,loaded_weight_kg,loaded_volume_cm3,module_count
车型1_001,0.911079,0.434,0.777497,"{'G4': 12, 'G2': 90, 'G3': 12, 'G1': 117}",2604.0,17437500,6
车型1_002,0.87973,0.432333,0.754459,"{'G4': 8, 'G2': 90, 'G3': 12, 'G1': 102, 'G5': 15}",2594.0,16837500,6
车型1_003,0.847819,0.420167,0.728076,"{'G3': 17, 'G2': 141, 'G4': 4, 'G1': 82, 'G5': 3}",2521.0,16226750,9
车型1_004,0.847819,0.420167,0.728076,"{'G3': 17, 'G2': 141, 'G4': 4, 'G1': 82, 'G5': 3}",2521.0,16226750,9
车型1_005,0.885934,0.436,0.759953,"{'G4': 8, 'G2': 119, 'G3': 14, 'G1': 82, 'G5': 15}",2616.0,16956250,8
车型1_006,0.882081,0.4515,0.761518,"{'G4': 8, 'G2': 278, 'G3': 19}",2709.0,16882500,11
车型1_007,0.872271,0.436667,0.750302,"{'G4': 4, 'G2': 141, 'G3': 16, 'G5': 6, 'G1': 87}",2620.0,16694750,9
车型1_008,0.783724,0.352,0.662841,"{'G4': 12, 'G1': 127, 'G3': 12, 'G5': 6}",2112.0,15000000,6
车型1_009,0.751121,0.423667,0.659434,"{'G5': 120, 'G4': 4, 'G1': 21, 'G3': 2}",2542.0,14376000,1
车型1_010,0.705978,0.282667,0.587451,"{'G4': 28, 'G1': 73, 'G3': 8}",1696.0,13512000,4
车型1_011,0.846422,0.3,0.693423,"{'G4': 60, 'G1': 25}",1800.0,16200000,0
车型1_012,0.759898,0.254,0.618247,"{'G4': 60, 'G1': 2}",1524.0,14544000,0
车型1_013,0.752375,0.45,0.66771,{'G5': 150},2700.0,14400000,0
车型1_014,0.752375,0.25,0.61171,{'G4': 60},1500.0,14400000,0
车型1_015,0.175554,0.06,0.143199,{'G3': 24},360.0,3360000,0
车型1_016,0.410671,0.1375,0.334183,"{'G3': 15, 'G4': 24}",825.0,7860000,0
车型1_017,0.410671,0.1375,0.334183,"{'G3': 15, 'G4': 24}",825.0,7860000,0
车型1_018,0.58518,0.335,0.51513,"{'G5': 105, 'G3': 8}",2010.0,11200000,0
车型1_019,0.410671,0.1375,0.334183,"{'G3': 15, 'G4': 24}",825.0,7860000,0
车型1_020,0.410671,0.1375,0.334183,"{'G3': 15, 'G4': 24}",825.0,7860000,0
车型1_021,0.221533,0.095,0.186103,"{'G3': 20, 'G5': 15}",570.0,4240000,0
车型1_022,0.591868,0.247333,0.495398,"{'G4': 32, 'G5': 38}",1484.0,11328000,0
车型1_023,0.175554,0.06,0.143199,{'G3': 24},360.0,3360000,0
车型1_024,0.230101,0.1095,0.196333,"{'G5': 24, 'G3': 15}",657.0,4404000,0
车型1_025,0.146295,0.05,0.119332,{'G3': 20},300.0,2800000,0
