template_name,support_type,support_orientation_id,g3_orientation_id,pattern_nx,pattern_ny,layers,support_count,g3_count,length,width,height,weight,support_length,support_width,support_height,g3_length,g3_width,g3_height,volume_bbox,score,source_kind
MPV2_base_G2_2x2_L4_S4_G31_K1,G2,4,1,2,2,4,16,1,70,50,240,143,35,25,50,70,50,40,840000,0.789496,base
MPV2_base_G2_2x2_L4_S6_G32_K1,G2,6,2,2,2,4,16,1,50,70,240,143,25,35,50,50,70,40,840000,0.789496,base
MPV2_base_G2_2x2_L4_S1_G32_K2,G2,1,2,2,2,4,16,2,100,70,140,158,50,35,25,50,70,40,980000,0.747828,base
MPV2_base_G2_2x2_L4_S3_G31_K2,G2,3,1,2,2,4,16,2,70,100,140,158,35,50,25,70,50,40,980000,0.747828,base
MPV2_base_G2_2x2_L3_S4_G31_K1,G2,4,1,2,2,3,12,1,70,50,190,111,35,25,50,70,50,40,665000,0.729215,base
MPV2_base_G2_2x2_L3_S6_G32_K1,G2,6,2,2,2,3,12,1,50,70,190,111,25,35,50,50,70,40,665000,0.729215,base
MPV2_base_G2_2x2_L3_S1_G32_K2,G2,1,2,2,2,3,12,2,100,70,115,126,50,35,25,50,70,40,805000,0.717912,base
MPV2_base_G2_2x2_L3_S3_G31_K2,G2,3,1,2,2,3,12,2,70,100,115,126,35,50,25,70,50,40,805000,0.717912,base
MPV2_base_G2_2x2_L2_S1_G32_K2,G2,1,2,2,2,2,8,2,100,70,90,94,50,35,25,50,70,40,630000,0.687996,base
MPV2_base_G2_2x2_L2_S3_G31_K2,G2,3,1,2,2,2,8,2,70,100,90,94,35,50,25,70,50,40,630000,0.687996,base
MPV2_base_G1_2x2_L4_S1_G32_K2,G1,1,2,2,2,4,16,2,120,80,160,222,60,40,30,50,70,40,1536000,0.673724,base
MPV2_base_G1_2x2_L4_S3_G31_K2,G1,3,1,2,2,4,16,2,80,120,160,222,40,60,30,70,50,40,1536000,0.673724,base
MPV2_base_G2_1x2_L4_S1_G32_K1,G2,1,2,1,2,4,8,1,50,70,140,79,50,35,25,50,70,40,490000,0.668934,base
MPV2_base_G2_2x1_L4_S3_G31_K1,G2,3,1,2,1,4,8,1,70,50,140,79,35,50,25,70,50,40,490000,0.668934,base
MPV2_base_G2_2x2_L2_S4_G31_K1,G2,4,1,2,2,2,8,1,70,50,140,79,35,25,50,70,50,40,490000,0.668934,base
MPV2_base_G2_2x2_L2_S6_G32_K1,G2,6,2,2,2,2,8,1,50,70,140,79,25,35,50,50,70,40,490000,0.668934,base
MPV2_base_G1_2x2_L3_S4_G31_K1,G1,4,1,2,2,3,12,1,80,60,220,159,40,30,60,70,50,40,1056000,0.66748,base
MPV2_base_G1_2x2_L3_S6_G32_K1,G1,6,2,2,2,3,12,1,60,80,220,159,30,40,60,50,70,40,1056000,0.66748,base
MPV2_base_G2_2x2_L1_S1_G32_K2,G2,1,2,2,2,1,4,2,100,70,65,62,50,35,25,50,70,40,455000,0.658079,base
MPV2_base_G2_2x2_L1_S3_G31_K2,G2,3,1,2,2,1,4,2,70,100,65,62,35,50,25,70,50,40,455000,0.658079,base
