vehicle_id,space_utilization,weight_utilization,fullness_score,actual_counts,loaded_weight_kg,loaded_volume_cm3
车型1_001,0.752375,0.45,0.66771,{'G5': 150},2700.0,14400000
车型1_002,0.752375,0.45,0.66771,{'G5': 150},2700.0,14400000
车型1_003,0.752375,0.45,0.66771,{'G5': 150},2700.0,14400000
车型1_004,0.272736,0.1575,0.24047,"{'G5': 50, 'G3': 3}",945.0,5220000
车型1_005,0.13898,0.0475,0.113366,{'G3': 19},285.0,2660000
车型1_006,0.160925,0.055,0.131266,{'G3': 22},330.0,3080000
车型1_007,0.168239,0.0575,0.137232,{'G3': 23},345.0,3220000
车型1_008,0.15361,0.0525,0.125299,{'G3': 21},315.0,2940000
车型1_009,0.160925,0.055,0.131266,{'G3': 22},330.0,3080000
车型1_010,0.168239,0.0575,0.137232,{'G3': 23},345.0,3220000
车型1_011,0.13898,0.0475,0.113366,{'G3': 19},285.0,2660000
车型1_012,0.160925,0.055,0.131266,{'G3': 22},330.0,3080000
车型1_013,0.160925,0.055,0.131266,{'G3': 22},330.0,3080000
车型1_014,0.168239,0.0575,0.137232,{'G3': 23},345.0,3220000
车型1_015,0.160925,0.055,0.131266,{'G3': 22},330.0,3080000
车型1_016,0.146295,0.05,0.119332,{'G3': 20},300.0,2800000
车型1_017,0.160925,0.055,0.131266,{'G3': 22},330.0,3080000
车型1_018,0.279789,0.133167,0.238735,"{'G3': 17, 'G2': 68}",799.0,5355000
车型1_019,0.500603,0.292,0.442194,{'G2': 219},1752.0,9581250
车型1_020,0.502889,0.293333,0.444214,{'G2': 220},1760.0,9625000
车型1_021,0.521176,0.304,0.460367,{'G2': 228},1824.0,9975000
车型1_022,0.473173,0.276,0.417965,{'G2': 207},1656.0,9056250
车型1_023,0.13258,0.077333,0.117111,{'G2': 58},464.0,2537500
车型1_024,0.752375,0.25,0.61171,{'G4': 60},1500.0,14400000
车型1_025,0.752375,0.25,0.61171,{'G4': 60},1500.0,14400000
车型1_026,0.752375,0.25,0.61171,{'G4': 60},1500.0,14400000
车型1_027,0.752375,0.25,0.61171,{'G4': 60},1500.0,14400000
车型1_028,0.752375,0.25,0.61171,{'G4': 60},1500.0,14400000
车型1_029,0.752375,0.25,0.61171,{'G4': 60},1500.0,14400000
车型1_030,0.704724,0.274667,0.584308,"{'G4': 40, 'G1': 54}",1648.0,13488000
车型1_031,0.605662,0.322,0.526236,{'G1': 161},1932.0,11592000
车型1_032,0.504091,0.268,0.437986,{'G1': 134},1608.0,9648000
车型1_033,0.624471,0.332,0.542579,{'G1': 166},1992.0,11952000
车型1_034,0.605662,0.322,0.526236,{'G1': 161},1932.0,11592000
车型1_035,0.466472,0.248,0.4053,{'G1': 124},1488.0,8928000
