item_id,type_id,category,x,y,z,length,width,height,weight,orientation_id,rotation,truck_id,support_by,direct_supported_weight
G4_车型2_001_0001,G4,oriented,0,0,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0002,G4,oriented,0,60,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0003,G4,oriented,0,0,50,80,60,50,25,1,LWH,车型2_001,G4_车型2_001_0001,25.0
G4_车型2_001_0004,G4,oriented,0,0,100,80,60,50,25,1,LWH,车型2_001,G4_车型2_001_0003,25.0
G4_车型2_001_0005,G4,oriented,80,0,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0006,G4,oriented,160,0,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0007,G4,oriented,0,0,150,80,60,50,25,1,LWH,车型2_001,G4_车型2_001_0004,0.0
G4_车型2_001_0008,G4,oriented,80,60,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0009,G4,oriented,0,120,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0010,G4,oriented,160,60,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0011,G4,oriented,0,180,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0012,G4,oriented,0,60,50,80,60,50,25,1,LWH,车型2_001,G4_车型2_001_0002,25.0
G4_车型2_001_0013,G4,oriented,160,120,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0014,G4,oriented,80,120,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0015,G4,oriented,240,0,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0016,G4,oriented,80,180,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0017,G4,oriented,320,0,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0018,G4,oriented,400,0,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0019,G4,oriented,320,60,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0020,G4,oriented,240,60,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0021,G4,oriented,320,120,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0022,G4,oriented,320,180,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0023,G4,oriented,240,120,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0024,G4,oriented,480,0,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0025,G4,oriented,400,60,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0026,G4,oriented,480,60,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0027,G4,oriented,160,180,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0028,G4,oriented,560,0,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0029,G4,oriented,400,120,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0030,G4,oriented,240,180,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0031,G4,oriented,0,60,100,80,60,50,25,1,LWH,车型2_001,G4_车型2_001_0012,25.0
G4_车型2_001_0032,G4,oriented,480,120,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0033,G4,oriented,480,180,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0034,G4,oriented,0,60,150,80,60,50,25,1,LWH,车型2_001,G4_车型2_001_0031,0.0
G4_车型2_001_0035,G4,oriented,0,120,50,80,60,50,25,1,LWH,车型2_001,G4_车型2_001_0009,25.0
G4_车型2_001_0036,G4,oriented,560,60,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0037,G4,oriented,400,180,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0038,G4,oriented,560,120,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0039,G4,oriented,0,120,100,80,60,50,25,1,LWH,车型2_001,G4_车型2_001_0035,25.0
G4_车型2_001_0040,G4,oriented,0,120,150,80,60,50,25,1,LWH,车型2_001,G4_车型2_001_0039,0.0
G4_车型2_001_0041,G4,oriented,160,0,50,80,60,50,25,1,LWH,车型2_001,G4_车型2_001_0006,25.0
G4_车型2_001_0042,G4,oriented,80,0,50,80,60,50,25,1,LWH,车型2_001,G4_车型2_001_0005,25.0
G4_车型2_001_0043,G4,oriented,80,0,100,80,60,50,25,1,LWH,车型2_001,G4_车型2_001_0042,25.0
G4_车型2_001_0044,G4,oriented,160,0,100,80,60,50,25,1,LWH,车型2_001,G4_车型2_001_0041,25.0
G4_车型2_001_0045,G4,oriented,80,0,150,80,60,50,25,1,LWH,车型2_001,G4_车型2_001_0043,0.0
G4_车型2_001_0046,G4,oriented,160,0,150,80,60,50,25,1,LWH,车型2_001,G4_车型2_001_0044,0.0
G4_车型2_001_0047,G4,oriented,0,180,50,80,60,50,25,1,LWH,车型2_001,G4_车型2_001_0011,25.0
G4_车型2_001_0048,G4,oriented,0,180,100,80,60,50,25,1,LWH,车型2_001,G4_车型2_001_0047,25.0
G4_车型2_001_0049,G4,oriented,80,120,50,80,60,50,25,1,LWH,车型2_001,G4_车型2_001_0014,25.0
G4_车型2_001_0050,G4,oriented,80,60,50,80,60,50,25,1,LWH,车型2_001,G4_车型2_001_0008,25.0
G4_车型2_001_0051,G4,oriented,80,120,100,80,60,50,25,1,LWH,车型2_001,G4_车型2_001_0049,25.0
G4_车型2_001_0052,G4,oriented,80,60,100,80,60,50,25,1,LWH,车型2_001,G4_车型2_001_0050,25.0
G4_车型2_001_0053,G4,oriented,80,120,150,80,60,50,25,1,LWH,车型2_001,G4_车型2_001_0051,0.0
G4_车型2_001_0054,G4,oriented,80,60,150,80,60,50,25,1,LWH,车型2_001,G4_车型2_001_0052,0.0
G4_车型2_001_0055,G4,oriented,160,60,50,80,60,50,25,1,LWH,车型2_001,G4_车型2_001_0010,25.0
G4_车型2_001_0056,G4,oriented,560,180,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0057,G4,oriented,80,180,50,80,60,50,25,1,LWH,车型2_001,G4_车型2_001_0016,25.0
G4_车型2_001_0058,G4,oriented,160,60,100,80,60,50,25,1,LWH,车型2_001,G4_车型2_001_0055,25.0
G4_车型2_001_0059,G4,oriented,160,60,150,80,60,50,25,1,LWH,车型2_001,G4_车型2_001_0058,0.0
G4_车型2_001_0060,G4,oriented,80,180,100,80,60,50,25,1,LWH,车型2_001,G4_车型2_001_0057,25.0
G4_车型2_001_0061,G4,oriented,160,120,50,80,60,50,25,1,LWH,车型2_001,G4_车型2_001_0013,25.0
G4_车型2_001_0062,G4,oriented,160,120,100,80,60,50,25,1,LWH,车型2_001,G4_车型2_001_0061,25.0
G4_车型2_001_0063,G4,oriented,80,180,150,80,60,50,25,1,LWH,车型2_001,G4_车型2_001_0060,0.0
G4_车型2_001_0064,G4,oriented,160,120,150,80,60,50,25,1,LWH,车型2_001,G4_车型2_001_0062,0.0
G4_车型2_001_0065,G4,oriented,240,0,50,80,60,50,25,1,LWH,车型2_001,G4_车型2_001_0015,25.0
G4_车型2_001_0066,G4,oriented,240,0,100,80,60,50,25,1,LWH,车型2_001,G4_车型2_001_0065,25.0
G4_车型2_001_0067,G4,oriented,0,180,150,80,60,50,25,1,LWH,车型2_001,G4_车型2_001_0048,0.0
G4_车型2_001_0068,G4,oriented,320,0,50,80,60,50,25,1,LWH,车型2_001,G4_车型2_001_0017,25.0
G4_车型2_001_0069,G4,oriented,240,60,50,80,60,50,25,1,LWH,车型2_001,G4_车型2_001_0020,25.0
G4_车型2_001_0070,G4,oriented,240,0,150,80,60,50,25,1,LWH,车型2_001,G4_车型2_001_0066,0.0
G4_车型2_001_0071,G4,oriented,240,120,50,80,60,50,25,1,LWH,车型2_001,G4_车型2_001_0023,25.0
G4_车型2_001_0072,G4,oriented,240,120,100,80,60,50,25,1,LWH,车型2_001,G4_车型2_001_0071,25.0
G4_车型2_001_0073,G4,oriented,240,60,100,80,60,50,25,1,LWH,车型2_001,G4_车型2_001_0069,25.0
G4_车型2_001_0074,G4,oriented,320,0,100,80,60,50,25,1,LWH,车型2_001,G4_车型2_001_0068,25.0
