item_id,type_id,category,x,y,z,length,width,height,weight,orientation_id,rotation,truck_id,support_by,direct_supported_weight
G3_车型1_010_0001,G3,fragile,0,0,0,70,50,40,15,1,LWH,车型1_010,,0.0
G3_车型1_010_0002,G3,fragile,0,50,0,50,70,40,15,2,WLH,车型1_010,,0.0
G2_车型1_010_0001,G2,standard,0,120,0,25,35,50,8,6,HWL,车型1_010,,8.0
G2_车型1_010_0002,G2,standard,0,155,0,25,35,50,8,6,HWL,车型1_010,,8.0
G2_车型1_010_0003,G2,standard,25,120,0,25,35,50,8,6,HWL,车型1_010,,8.0
G4_车型1_010_0001,G4,oriented,70,0,0,80,60,50,25,1,LWH,车型1_010,,25.0
G4_车型1_010_0002,G4,oriented,70,60,0,80,60,50,25,1,LWH,车型1_010,,25.0
G4_车型1_010_0003,G4,oriented,70,120,0,80,60,50,25,1,LWH,车型1_010,,25.0
G1_车型1_010_0001,G1,standard,70,180,0,60,30,40,12,2,LHW,车型1_010,,12.0
G2_车型1_010_0004,G2,standard,25,155,0,25,50,35,8,5,HLW,车型1_010,,8.0
G5_车型1_010_0001,G5,oriented,150,0,0,40,40,60,18,1,LWH,车型1_010,,18.0
G4_车型1_010_0004,G4,oriented,190,0,0,80,60,50,25,1,LWH,车型1_010,,25.0
G4_车型1_010_0005,G4,oriented,190,60,0,80,60,50,25,1,LWH,车型1_010,,25.0
G4_车型1_010_0006,G4,oriented,190,120,0,80,60,50,25,1,LWH,车型1_010,,25.0
G5_车型1_010_0002,G5,oriented,150,40,0,40,40,60,18,1,LWH,车型1_010,,18.0
G3_车型1_010_0003,G3,fragile,270,0,0,50,70,40,15,2,WLH,车型1_010,,0.0
G1_车型1_010_0002,G1,standard,190,180,0,60,30,40,12,2,LHW,车型1_010,,12.0
G3_车型1_010_0004,G3,fragile,320,0,0,70,50,40,15,1,LWH,车型1_010,,0.0
G3_车型1_010_0005,G3,fragile,320,50,0,70,50,40,15,1,LWH,车型1_010,,0.0
G3_车型1_010_0006,G3,fragile,270,70,0,50,70,40,15,2,WLH,车型1_010,,0.0
G3_车型1_010_0007,G3,fragile,270,140,0,50,70,40,15,2,WLH,车型1_010,,0.0
G5_车型1_010_0003,G5,oriented,150,80,0,40,40,60,18,1,LWH,车型1_010,,18.0
G3_车型1_010_0008,G3,fragile,320,100,0,70,50,40,15,1,LWH,车型1_010,,0.0
G1_车型1_010_0003,G1,standard,150,120,0,40,60,30,12,3,WLH,车型1_010,,18.0
G1_车型1_010_0004,G1,standard,150,180,0,40,30,60,12,4,WHL,车型1_010,,12.0
G3_车型1_010_0009,G3,fragile,320,150,0,70,50,40,15,1,LWH,车型1_010,,0.0
G1_车型1_010_0005,G1,standard,390,0,0,30,60,40,12,5,HLW,车型1_010,,12.0
G1_车型1_010_0006,G1,standard,390,60,0,30,60,40,12,5,HLW,车型1_010,,12.0
G2_车型1_010_0005,G2,standard,390,120,0,25,35,50,8,6,HWL,车型1_010,,8.0
G5_车型1_010_0004,G5,oriented,150,0,60,40,40,60,18,1,LWH,车型1_010,G5_车型1_010_0001,12.0
G1_车型1_010_0007,G1,standard,150,0,120,40,30,60,12,4,WHL,车型1_010,G5_车型1_010_0004,0.0
G5_车型1_010_0005,G5,oriented,150,40,60,40,40,60,18,1,LWH,车型1_010,G5_车型1_010_0002,12.0
G1_车型1_010_0008,G1,standard,150,40,120,30,40,60,12,6,HWL,车型1_010,G5_车型1_010_0005,0.0
G2_车型1_010_0006,G2,standard,390,155,0,25,50,35,8,5,HLW,车型1_010,,8.0
G5_车型1_010_0006,G5,oriented,150,80,60,40,40,60,18,1,LWH,车型1_010,G5_车型1_010_0003,12.0
G1_车型1_010_0009,G1,standard,150,80,120,30,40,60,12,6,HWL,车型1_010,G5_车型1_010_0006,0.0
G4_车型1_010_0007,G4,oriented,70,120,50,80,60,50,25,1,LWH,车型1_010,G4_车型1_010_0003,25.0
G1_车型1_010_0010,G1,standard,150,180,60,40,30,60,12,4,WHL,车型1_010,G1_车型1_010_0004,12.0
G1_车型1_010_0011,G1,standard,150,180,120,40,30,60,12,4,WHL,车型1_010,G1_车型1_010_0010,0.0
