vehicle_id,space_utilization,weight_utilization,fullness_score,actual_counts,loaded_weight_kg,loaded_volume_cm3
车型2_001,0.529117,0.3241,0.471712,"{'G2': 139, 'G1': 63, 'G4': 32, 'G3': 7, 'G5': 26}",3241.0,21773250
车型2_002,0.423595,0.2747,0.381904,"{'G1': 102, 'G2': 84, 'G3': 17, 'G5': 22, 'G4': 8}",2747.0,17431000
车型2_003,0.533776,0.3229,0.474731,"{'G5': 27, 'G4': 28, 'G1': 114, 'G3': 13, 'G2': 60}",3229.0,21965000
车型2_004,0.570362,0.35,0.50866,"{'G5': 48, 'G1': 70, 'G2': 102, 'G3': 12, 'G4': 32}",3500.0,23470500
车型2_005,0.452039,0.2805,0.404008,"{'G5': 47, 'G4': 20, 'G3': 17, 'G1': 51, 'G2': 74}",2805.0,18601500
车型2_006,0.436887,0.2635,0.388339,"{'G4': 20, 'G3': 23, 'G5': 51, 'G1': 46, 'G2': 40}",2635.0,17978000
车型2_007,0.461747,0.2594,0.40509,"{'G4': 32, 'G5': 24, 'G3': 22, 'G1': 46, 'G2': 60}",2594.0,19001000
车型2_008,0.480344,0.2892,0.426824,"{'G3': 18, 'G5': 23, 'G1': 76, 'G2': 87, 'G4': 24}",2892.0,19766250
车型2_009,0.504906,0.2978,0.446917,"{'G4': 32, 'G3': 16, 'G2': 60, 'G1': 57, 'G5': 43}",2978.0,20777000
车型2_010,0.483297,0.2737,0.42461,"{'G4': 36, 'G3': 17, 'G2': 65, 'G1': 45, 'G5': 29}",2737.0,19887750
车型2_011,0.418188,0.2695,0.376555,"{'G5': 53, 'G3': 23, 'G1': 69, 'G2': 46, 'G4': 8}",2695.0,17208500
车型2_012,0.350509,0.216,0.312846,"{'G3': 28, 'G5': 20, 'G1': 33, 'G2': 98, 'G4': 8}",2160.0,14423500
车型2_013,0.520405,0.2896,0.455779,"{'G4': 44, 'G3': 16, 'G2': 85, 'G5': 30, 'G1': 28}",2896.0,21414750
车型2_014,0.420703,0.2266,0.366354,"{'G5': 57, 'G4': 40, 'G3': 16}",2266.0,17312000
车型2_015,0.27509,0.119,0.231385,"{'G3': 26, 'G4': 32}",1190.0,11320000
车型2_016,0.121992,0.0535,0.102814,"{'G4': 4, 'G3': 29}",535.0,5020000
