vehicle_id,truck_type,space_utilization,weight_utilization,fullness_score,actual_counts,loaded_weight_kg,loaded_volume_cm3,module_count
车型2_001,车型2,0.674505,0.4184,0.602795,"{'G1': 172, 'G3': 24, 'G2': 80, 'G5': 40, 'G4': 16}",4184.0,27756000,16
车型2_002,车型2,0.718447,0.4404,0.640594,"{'G2': 111, 'G3': 24, 'G4': 24, 'G1': 147, 'G5': 44}",4404.0,29564250,16
车型2_003,车型2,0.743034,0.4153,0.651269,"{'G4': 56, 'G1': 114, 'G3': 15, 'G2': 64, 'G5': 36}",4153.0,30576000,11
车型2_004,车型2,0.707311,0.3936,0.619472,"{'G4': 64, 'G2': 184, 'G3': 16, 'G5': 24, 'G1': 16}",3936.0,29106000,8
车型2_005,车型2,0.730075,0.4954,0.664366,"{'G5': 176, 'G3': 14, 'G2': 101, 'G1': 14, 'G4': 24}",4954.0,30042750,5
车型2_006,车型2,0.623138,0.3307,0.541255,"{'G3': 21, 'G2': 119, 'G5': 12, 'G1': 27, 'G4': 60}",3307.0,25642250,9
车型2_007,车型2,0.409117,0.2554,0.366076,"{'G3': 38, 'G2': 131, 'G5': 12, 'G1': 60}",2554.0,16835250,11
车型2_008,车型2,0.652117,0.3508,0.567748,"{'G4': 56, 'G2': 133, 'G3': 20, 'G1': 62}",3508.0,26834750,10
车型2_009,车型2,0.510617,0.3426,0.463572,"{'G3': 30, 'G2': 48, 'G5': 96, 'G1': 72}",3426.0,21012000,7
车型2_010,车型2,0.673435,0.3266,0.576321,"{'G4': 80, 'G3': 14, 'G5': 8, 'G1': 76}",3266.0,27712000,3
车型2_011,车型2,0.30981,0.1858,0.275087,"{'G3': 38, 'G5': 32, 'G1': 40, 'G2': 29}",1858.0,12748750,3
车型2_012,车型2,0.179343,0.0945,0.155587,"{'G3': 39, 'G5': 20}",945.0,7380000,0
车型2_013,车型2,0.140461,0.0605,0.118072,"{'G4': 20, 'G3': 7}",605.0,5780000,0
