vehicle_id,truck_type,space_utilization,weight_utilization,fullness_score,actual_counts,loaded_weight_kg,loaded_volume_cm3,module_count
车型2_001,车型2,0.674505,0.4184,0.602795,"{'G1': 172, 'G3': 24, 'G2': 80, 'G5': 40, 'G4': 16}",4184.0,27756000,16
车型2_002,车型2,0.718447,0.4404,0.640594,"{'G2': 111, 'G3': 24, 'G4': 24, 'G1': 147, 'G5': 44}",4404.0,29564250,16
车型2_003,车型2,0.743034,0.4153,0.651269,"{'G4': 56, 'G1': 114, 'G3': 15, 'G2': 64, 'G5': 36}",4153.0,30576000,11
车型2_004,车型2,0.738514,0.4841,0.667278,"{'G5': 148, 'G3': 15, 'G2': 120, 'G1': 16, 'G4': 32}",4841.0,30390000,6
车型2_005,车型2,0.707311,0.3936,0.619472,"{'G4': 64, 'G2': 184, 'G3': 16, 'G5': 24, 'G1': 16}",3936.0,29106000,8
车型2_006,车型2,0.409603,0.2641,0.368862,"{'G3': 39, 'G2': 131, 'G5': 32, 'G1': 36}",2641.0,16855250,10
车型2_007,车型2,0.497883,0.3088,0.44494,"{'G3': 32, 'G2': 96, 'G5': 56, 'G1': 36, 'G4': 16}",3088.0,20488000,8
车型2_008,车型2,0.672366,0.3344,0.577736,"{'G3': 16, 'G2': 48, 'G5': 16, 'G1': 36, 'G4': 80}",3344.0,27668000,4
车型2_009,车型2,0.624821,0.3246,0.540759,"{'G3': 18, 'G2': 66, 'G5': 8, 'G1': 67, 'G4': 60}",3246.0,25711500,7
车型2_010,车型2,0.396013,0.2494,0.354961,"{'G3': 32, 'G2': 32, 'G5': 37, 'G1': 91}",2494.0,16296000,5
车型2_011,车型2,0.643393,0.3524,0.561915,"{'G4': 52, 'G3': 20, 'G5': 32, 'G1': 69, 'G2': 65}",3524.0,26475750,6
车型2_012,车型2,0.198863,0.1095,0.173841,"{'G3': 39, 'G5': 27, 'G2': 3}",1095.0,8183250,0
车型1_001,车型1,0.073148,0.025,0.059666,{'G3': 10},150.0,1400000,0
