record_type,item_id,type_id,category,x,y,z,length,width,height,weight,orientation_id,rotation,truck_id,support_by,direct_supported_weight,template_name
item,G3_车型2_012_0001,G3,fragile,0,0,0,70,50,40,15,1,LWH,车型2_012,,0.0,
item,G3_车型2_012_0002,G3,fragile,0,50,0,70,50,40,15,1,LWH,车型2_012,,0.0,
item,G3_车型2_012_0003,G3,fragile,0,100,0,70,50,40,15,1,LWH,车型2_012,,0.0,
item,G3_车型2_012_0004,G3,fragile,0,150,0,70,50,40,15,1,LWH,车型2_012,,0.0,
item,G5_车型2_012_0001,G5,oriented,0,200,0,40,40,60,18,1,LWH,车型2_012,,18.0,
item,G2_车型2_012_0001,G2,standard,40,200,0,25,35,50,8,6,HWL,车型2_012,,0.0,
item,G3_车型2_012_0005,G3,fragile,70,0,0,70,50,40,15,1,LWH,车型2_012,,0.0,
item,G3_车型2_012_0006,G3,fragile,70,50,0,70,50,40,15,1,LWH,车型2_012,,0.0,
item,G3_车型2_012_0007,G3,fragile,70,100,0,70,50,40,15,1,LWH,车型2_012,,0.0,
item,G3_车型2_012_0008,G3,fragile,70,150,0,70,50,40,15,1,LWH,车型2_012,,0.0,
item,G5_车型2_012_0002,G5,oriented,70,200,0,40,40,60,18,1,LWH,车型2_012,,18.0,
item,G2_车型2_012_0002,G2,standard,110,200,0,25,35,50,8,6,HWL,车型2_012,,0.0,
item,G3_车型2_012_0009,G3,fragile,140,0,0,70,50,40,15,1,LWH,车型2_012,,0.0,
item,G3_车型2_012_0010,G3,fragile,140,50,0,70,50,40,15,1,LWH,车型2_012,,0.0,
item,G3_车型2_012_0011,G3,fragile,140,100,0,70,50,40,15,1,LWH,车型2_012,,0.0,
item,G3_车型2_012_0012,G3,fragile,140,150,0,70,50,40,15,1,LWH,车型2_012,,0.0,
item,G5_车型2_012_0003,G5,oriented,140,200,0,40,40,60,18,1,LWH,车型2_012,,18.0,
item,G2_车型2_012_0003,G2,standard,180,200,0,25,35,50,8,6,HWL,车型2_012,,0.0,
item,G3_车型2_012_0013,G3,fragile,210,0,0,70,50,40,15,1,LWH,车型2_012,,0.0,
item,G3_车型2_012_0014,G3,fragile,210,50,0,70,50,40,15,1,LWH,车型2_012,,0.0,
item,G3_车型2_012_0015,G3,fragile,210,100,0,70,50,40,15,1,LWH,车型2_012,,0.0,
item,G3_车型2_012_0016,G3,fragile,210,150,0,70,50,40,15,1,LWH,车型2_012,,0.0,
item,G5_车型2_012_0004,G5,oriented,210,200,0,40,40,60,18,1,LWH,车型2_012,,18.0,
item,G3_车型2_012_0017,G3,fragile,280,0,0,70,50,40,15,1,LWH,车型2_012,,0.0,
item,G3_车型2_012_0018,G3,fragile,280,50,0,70,50,40,15,1,LWH,车型2_012,,0.0,
item,G3_车型2_012_0019,G3,fragile,280,100,0,70,50,40,15,1,LWH,车型2_012,,0.0,
item,G3_车型2_012_0020,G3,fragile,280,150,0,70,50,40,15,1,LWH,车型2_012,,0.0,
item,G5_车型2_012_0005,G5,oriented,280,200,0,40,40,60,18,1,LWH,车型2_012,,18.0,
item,G3_车型2_012_0021,G3,fragile,350,0,0,70,50,40,15,1,LWH,车型2_012,,0.0,
item,G3_车型2_012_0022,G3,fragile,350,50,0,70,50,40,15,1,LWH,车型2_012,,0.0,
item,G3_车型2_012_0023,G3,fragile,350,100,0,70,50,40,15,1,LWH,车型2_012,,0.0,
item,G3_车型2_012_0024,G3,fragile,350,150,0,70,50,40,15,1,LWH,车型2_012,,0.0,
item,G5_车型2_012_0006,G5,oriented,350,200,0,40,40,60,18,1,LWH,车型2_012,,18.0,
item,G3_车型2_012_0025,G3,fragile,420,0,0,70,50,40,15,1,LWH,车型2_012,,0.0,
item,G3_车型2_012_0026,G3,fragile,420,50,0,70,50,40,15,1,LWH,车型2_012,,0.0,
item,G3_车型2_012_0027,G3,fragile,420,100,0,70,50,40,15,1,LWH,车型2_012,,0.0,
item,G3_车型2_012_0028,G3,fragile,420,150,0,70,50,40,15,1,LWH,车型2_012,,0.0,
item,G5_车型2_012_0007,G5,oriented,420,200,0,40,40,60,18,1,LWH,车型2_012,,0.0,
item,G3_车型2_012_0029,G3,fragile,490,0,0,70,50,40,15,1,LWH,车型2_012,,0.0,
item,G3_车型2_012_0030,G3,fragile,560,0,0,70,50,40,15,1,LWH,车型2_012,,0.0,
item,G3_车型2_012_0031,G3,fragile,490,50,0,70,50,40,15,1,LWH,车型2_012,,0.0,
item,G3_车型2_012_0032,G3,fragile,560,50,0,70,50,40,15,1,LWH,车型2_012,,0.0,
