item_id,type_id,category,x,y,z,length,width,height,weight,orientation_id,rotation,support_by,truck_id
G5_001,G5,oriented,0,0,0,40,40,60,18,0,LWH,,车型1
G5_002,G5,oriented,0,0,60,40,40,60,18,0,LWH,G5_001,车型1
G5_003,G5,oriented,0,0,120,40,40,60,18,0,LWH,G5_002,车型1
G5_004,G5,oriented,0,40,0,40,40,60,18,0,LWH,,车型1
G5_005,G5,oriented,0,40,60,40,40,60,18,0,LWH,G5_004,车型1
G5_006,G5,oriented,0,40,120,40,40,60,18,0,LWH,G5_005,车型1
G5_007,G5,oriented,0,80,0,40,40,60,18,0,LWH,,车型1
G5_008,G5,oriented,0,80,60,40,40,60,18,0,LWH,G5_007,车型1
G5_009,G5,oriented,0,80,120,40,40,60,18,0,LWH,G5_008,车型1
G5_010,G5,oriented,0,120,0,40,40,60,18,0,LWH,,车型1
G5_011,G5,oriented,0,120,60,40,40,60,18,0,LWH,G5_010,车型1
G5_012,G5,oriented,0,120,120,40,40,60,18,0,LWH,G5_011,车型1
G5_013,G5,oriented,0,160,0,40,40,60,18,0,LWH,,车型1
G5_014,G5,oriented,0,160,60,40,40,60,18,0,LWH,G5_013,车型1
G5_015,G5,oriented,0,160,120,40,40,60,18,0,LWH,G5_014,车型1
G5_016,G5,oriented,40,0,0,40,40,60,18,0,LWH,,车型1
G5_017,G5,oriented,40,0,60,40,40,60,18,0,LWH,G5_016,车型1
G5_018,G5,oriented,40,0,120,40,40,60,18,0,LWH,G5_017,车型1
G5_019,G5,oriented,40,40,0,40,40,60,18,0,LWH,,车型1
G5_020,G5,oriented,40,40,60,40,40,60,18,0,LWH,G5_019,车型1
G5_021,G5,oriented,40,40,120,40,40,60,18,0,LWH,G5_020,车型1
G5_022,G5,oriented,40,80,0,40,40,60,18,0,LWH,,车型1
G5_023,G5,oriented,40,80,60,40,40,60,18,0,LWH,G5_022,车型1
G5_024,G5,oriented,40,80,120,40,40,60,18,0,LWH,G5_023,车型1
G5_025,G5,oriented,40,120,0,40,40,60,18,0,LWH,,车型1
G5_026,G5,oriented,40,120,60,40,40,60,18,0,LWH,G5_025,车型1
G5_027,G5,oriented,40,120,120,40,40,60,18,0,LWH,G5_026,车型1
G5_028,G5,oriented,40,160,0,40,40,60,18,0,LWH,,车型1
G5_029,G5,oriented,40,160,60,40,40,60,18,0,LWH,G5_028,车型1
G5_030,G5,oriented,40,160,120,40,40,60,18,0,LWH,G5_029,车型1
G5_031,G5,oriented,80,0,0,40,40,60,18,0,LWH,,车型1
G5_032,G5,oriented,80,0,60,40,40,60,18,0,LWH,G5_031,车型1
G5_033,G5,oriented,80,0,120,40,40,60,18,0,LWH,G5_032,车型1
G5_034,G5,oriented,80,40,0,40,40,60,18,0,LWH,,车型1
G5_035,G5,oriented,80,40,60,40,40,60,18,0,LWH,G5_034,车型1
G5_036,G5,oriented,80,40,120,40,40,60,18,0,LWH,G5_035,车型1
G5_037,G5,oriented,80,80,0,40,40,60,18,0,LWH,,车型1
G5_038,G5,oriented,80,80,60,40,40,60,18,0,LWH,G5_037,车型1
