item_id,type_id,category,x,y,z,length,width,height,weight,orientation_id,rotation,truck_id
G3_008_0001,G3,fragile,0,0,0,50,40,70,15,4,WHL,车型1_008
G3_008_0002,G3,fragile,50,0,0,50,40,70,15,4,WHL,车型1_008
G3_008_0003,G3,fragile,100,0,0,50,40,70,15,4,WHL,车型1_008
G3_008_0004,G3,fragile,150,0,0,50,40,70,15,4,WHL,车型1_008
G3_008_0005,G3,fragile,200,0,0,50,40,70,15,4,WHL,车型1_008
G3_008_0006,G3,fragile,250,0,0,50,40,70,15,4,WHL,车型1_008
G3_008_0007,G3,fragile,300,0,0,50,40,70,15,4,WHL,车型1_008
G3_008_0008,G3,fragile,350,0,0,50,40,70,15,4,WHL,车型1_008
G1_008_0001,G1,standard,0,40,0,60,40,30,12,1,LWH,车型1_008
G1_008_0002,G1,standard,60,40,0,60,40,30,12,1,LWH,车型1_008
G1_008_0003,G1,standard,120,40,0,60,40,30,12,1,LWH,车型1_008
G1_008_0004,G1,standard,180,40,0,60,40,30,12,1,LWH,车型1_008
G1_008_0005,G1,standard,240,40,0,60,40,30,12,1,LWH,车型1_008
G1_008_0006,G1,standard,300,40,0,60,40,30,12,1,LWH,车型1_008
G1_008_0007,G1,standard,360,40,0,60,40,30,12,1,LWH,车型1_008
G1_008_0008,G1,standard,0,80,0,60,40,30,12,1,LWH,车型1_008
G1_008_0009,G1,standard,60,80,0,60,40,30,12,1,LWH,车型1_008
G1_008_0010,G1,standard,120,80,0,60,40,30,12,1,LWH,车型1_008
G1_008_0011,G1,standard,180,80,0,60,40,30,12,1,LWH,车型1_008
G1_008_0012,G1,standard,240,80,0,60,40,30,12,1,LWH,车型1_008
G1_008_0013,G1,standard,300,80,0,60,40,30,12,1,LWH,车型1_008
G1_008_0014,G1,standard,360,80,0,60,40,30,12,1,LWH,车型1_008
G1_008_0015,G1,standard,0,120,0,60,40,30,12,1,LWH,车型1_008
G1_008_0016,G1,standard,60,120,0,60,40,30,12,1,LWH,车型1_008
G1_008_0017,G1,standard,120,120,0,60,40,30,12,1,LWH,车型1_008
G1_008_0018,G1,standard,180,120,0,60,40,30,12,1,LWH,车型1_008
G1_008_0019,G1,standard,240,120,0,60,40,30,12,1,LWH,车型1_008
G1_008_0020,G1,standard,300,120,0,60,40,30,12,1,LWH,车型1_008
G1_008_0021,G1,standard,360,120,0,60,40,30,12,1,LWH,车型1_008
G1_008_0022,G1,standard,0,160,0,60,40,30,12,1,LWH,车型1_008
G1_008_0023,G1,standard,60,160,0,60,40,30,12,1,LWH,车型1_008
G1_008_0024,G1,standard,120,160,0,60,40,30,12,1,LWH,车型1_008
G1_008_0025,G1,standard,180,160,0,60,40,30,12,1,LWH,车型1_008
G1_008_0026,G1,standard,240,160,0,60,40,30,12,1,LWH,车型1_008
G1_008_0027,G1,standard,300,160,0,60,40,30,12,1,LWH,车型1_008
G1_008_0028,G1,standard,360,160,0,60,40,30,12,1,LWH,车型1_008
G3_008_0009,G3,fragile,0,40,30,50,40,70,15,4,WHL,车型1_008
G3_008_0010,G3,fragile,60,40,30,50,40,70,15,4,WHL,车型1_008
G3_008_0011,G3,fragile,120,40,30,50,40,70,15,4,WHL,车型1_008
G3_008_0012,G3,fragile,180,40,30,50,40,70,15,4,WHL,车型1_008
G3_008_0013,G3,fragile,240,40,30,50,40,70,15,4,WHL,车型1_008
G3_008_0014,G3,fragile,300,40,30,50,40,70,15,4,WHL,车型1_008
G3_008_0015,G3,fragile,360,40,30,50,40,70,15,4,WHL,车型1_008
G3_008_0016,G3,fragile,0,80,30,50,40,70,15,4,WHL,车型1_008
G3_008_0017,G3,fragile,60,80,30,50,40,70,15,4,WHL,车型1_008
G3_008_0018,G3,fragile,120,80,30,50,40,70,15,4,WHL,车型1_008
G3_008_0019,G3,fragile,180,80,30,50,40,70,15,4,WHL,车型1_008
G3_008_0020,G3,fragile,240,80,30,50,40,70,15,4,WHL,车型1_008
G3_008_0021,G3,fragile,300,80,30,50,40,70,15,4,WHL,车型1_008
G3_008_0022,G3,fragile,360,80,30,50,40,70,15,4,WHL,车型1_008
G3_008_0023,G3,fragile,0,120,30,50,40,70,15,4,WHL,车型1_008
G3_008_0024,G3,fragile,60,120,30,50,40,70,15,4,WHL,车型1_008
G4_008_0001,G4,oriented,0,40,100,80,60,50,25,1,LWH,车型1_008
G4_008_0002,G4,oriented,80,40,100,80,60,50,25,1,LWH,车型1_008
G4_008_0003,G4,oriented,160,40,100,80,60,50,25,1,LWH,车型1_008
G4_008_0004,G4,oriented,240,40,100,80,60,50,25,1,LWH,车型1_008
G4_008_0005,G4,oriented,320,40,100,80,60,50,25,1,LWH,车型1_008
G4_008_0006,G4,oriented,0,100,100,80,60,50,25,1,LWH,车型1_008
G4_008_0007,G4,oriented,80,100,100,80,60,50,25,1,LWH,车型1_008
G4_008_0008,G4,oriented,160,100,100,80,60,50,25,1,LWH,车型1_008
G4_008_0009,G4,oriented,240,100,100,80,60,50,25,1,LWH,车型1_008
G4_008_0010,G4,oriented,320,100,100,80,60,50,25,1,LWH,车型1_008
G1_008_0029,G1,standard,0,160,100,60,40,30,12,1,LWH,车型1_008
G1_008_0030,G1,standard,60,160,100,60,40,30,12,1,LWH,车型1_008
G1_008_0031,G1,standard,120,160,100,60,40,30,12,1,LWH,车型1_008
G1_008_0032,G1,standard,180,160,100,60,40,30,12,1,LWH,车型1_008
G2_008_0001,G2,standard,240,160,100,50,35,25,8,1,LWH,车型1_008
G2_008_0002,G2,standard,290,160,100,50,35,25,8,1,LWH,车型1_008
G2_008_0003,G2,standard,340,160,100,50,35,25,8,1,LWH,车型1_008
G2_008_0004,G2,standard,390,160,100,25,50,35,8,5,HLW,车型1_008
G4_008_0011,G4,oriented,0,40,150,80,60,50,25,1,LWH,车型1_008
