item_id,type_id,category,x,y,z,length,width,height,weight,orientation_id,rotation,truck_id
G4_024_0001,G4,oriented,0,0,0,80,60,50,25,1,LWH,车型1_024
G4_024_0002,G4,oriented,80,0,0,80,60,50,25,1,LWH,车型1_024
G4_024_0003,G4,oriented,160,0,0,80,60,50,25,1,LWH,车型1_024
G4_024_0004,G4,oriented,240,0,0,80,60,50,25,1,LWH,车型1_024
G4_024_0005,G4,oriented,320,0,0,80,60,50,25,1,LWH,车型1_024
G4_024_0006,G4,oriented,0,60,0,80,60,50,25,1,LWH,车型1_024
G4_024_0007,G4,oriented,80,60,0,80,60,50,25,1,LWH,车型1_024
G4_024_0008,G4,oriented,160,60,0,80,60,50,25,1,LWH,车型1_024
G4_024_0009,G4,oriented,240,60,0,80,60,50,25,1,LWH,车型1_024
G4_024_0010,G4,oriented,320,60,0,80,60,50,25,1,LWH,车型1_024
G5_024_0001,G5,oriented,0,120,0,40,40,60,18,1,LWH,车型1_024
G5_024_0002,G5,oriented,40,120,0,40,40,60,18,1,LWH,车型1_024
G5_024_0003,G5,oriented,80,120,0,40,40,60,18,1,LWH,车型1_024
G5_024_0004,G5,oriented,120,120,0,40,40,60,18,1,LWH,车型1_024
G5_024_0005,G5,oriented,160,120,0,40,40,60,18,1,LWH,车型1_024
G5_024_0006,G5,oriented,200,120,0,40,40,60,18,1,LWH,车型1_024
G5_024_0007,G5,oriented,240,120,0,40,40,60,18,1,LWH,车型1_024
G5_024_0008,G5,oriented,280,120,0,40,40,60,18,1,LWH,车型1_024
G5_024_0009,G5,oriented,320,120,0,40,40,60,18,1,LWH,车型1_024
G1_024_0001,G1,standard,360,120,0,60,40,30,12,1,LWH,车型1_024
G5_024_0010,G5,oriented,0,160,0,40,40,60,18,1,LWH,车型1_024
G5_024_0011,G5,oriented,40,160,0,40,40,60,18,1,LWH,车型1_024
G5_024_0012,G5,oriented,80,160,0,40,40,60,18,1,LWH,车型1_024
G5_024_0013,G5,oriented,120,160,0,40,40,60,18,1,LWH,车型1_024
G5_024_0014,G5,oriented,160,160,0,40,40,60,18,1,LWH,车型1_024
G5_024_0015,G5,oriented,200,160,0,40,40,60,18,1,LWH,车型1_024
G5_024_0016,G5,oriented,240,160,0,40,40,60,18,1,LWH,车型1_024
G5_024_0017,G5,oriented,280,160,0,40,40,60,18,1,LWH,车型1_024
G1_024_0002,G1,standard,320,160,0,60,40,30,12,1,LWH,车型1_024
G5_024_0018,G5,oriented,380,160,0,40,40,60,18,1,LWH,车型1_024
