vehicle_id,space_utilization,weight_utilization,fullness_score,target_counts,actual_counts,loaded_weight_kg,loaded_volume_cm3,feasible_full_pack,policy_desc
车型1_001,0.353407,0.132833,0.291646,"{'G3': 14, 'G4': 15, 'G5': 0, 'G1': 7, 'G2': 16}","{'G3': 14, 'G4': 15, 'G1': 7, 'G2': 16}",797.0,6764000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_002,0.316833,0.1115,0.25934,"{'G3': 14, 'G4': 15, 'G5': 0, 'G1': 7, 'G2': 0}","{'G3': 14, 'G4': 15, 'G1': 7}",669.0,6064000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_003,0.316833,0.1115,0.25934,"{'G3': 14, 'G4': 15, 'G5': 0, 'G1': 7, 'G2': 0}","{'G3': 14, 'G4': 15, 'G1': 7}",669.0,6064000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_004,0.33512,0.122167,0.275493,"{'G3': 14, 'G4': 15, 'G5': 0, 'G1': 7, 'G2': 8}","{'G3': 14, 'G4': 15, 'G1': 7, 'G2': 8}",733.0,6414000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_005,0.33512,0.122167,0.275493,"{'G3': 14, 'G4': 15, 'G5': 0, 'G1': 7, 'G2': 8}","{'G3': 14, 'G4': 15, 'G1': 7, 'G2': 8}",733.0,6414000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_006,0.33512,0.122167,0.275493,"{'G3': 14, 'G4': 15, 'G5': 0, 'G1': 7, 'G2': 8}","{'G3': 14, 'G4': 15, 'G1': 7, 'G2': 8}",733.0,6414000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_007,0.33512,0.122167,0.275493,"{'G3': 14, 'G4': 15, 'G5': 0, 'G1': 7, 'G2': 8}","{'G3': 14, 'G4': 15, 'G1': 7, 'G2': 8}",733.0,6414000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_008,0.33512,0.122167,0.275493,"{'G3': 14, 'G4': 15, 'G5': 0, 'G1': 7, 'G2': 8}","{'G3': 14, 'G4': 15, 'G1': 7, 'G2': 8}",733.0,6414000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_009,0.33512,0.122167,0.275493,"{'G3': 14, 'G4': 15, 'G5': 0, 'G1': 7, 'G2': 8}","{'G3': 14, 'G4': 15, 'G1': 7, 'G2': 8}",733.0,6414000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_010,0.33512,0.122167,0.275493,"{'G3': 14, 'G4': 15, 'G5': 0, 'G1': 7, 'G2': 8}","{'G3': 14, 'G4': 15, 'G1': 7, 'G2': 8}",733.0,6414000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_011,0.33512,0.122167,0.275493,"{'G3': 14, 'G4': 15, 'G5': 0, 'G1': 7, 'G2': 8}","{'G3': 14, 'G4': 15, 'G1': 7, 'G2': 8}",733.0,6414000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_012,0.33512,0.122167,0.275493,"{'G3': 14, 'G4': 15, 'G5': 0, 'G1': 7, 'G2': 8}","{'G3': 14, 'G4': 15, 'G1': 7, 'G2': 8}",733.0,6414000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_013,0.33512,0.122167,0.275493,"{'G3': 14, 'G4': 15, 'G5': 0, 'G1': 7, 'G2': 8}","{'G3': 14, 'G4': 15, 'G1': 7, 'G2': 8}",733.0,6414000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_014,0.33512,0.122167,0.275493,"{'G3': 14, 'G4': 15, 'G5': 0, 'G1': 7, 'G2': 8}","{'G3': 14, 'G4': 15, 'G1': 7, 'G2': 8}",733.0,6414000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_015,0.33512,0.122167,0.275493,"{'G3': 14, 'G4': 15, 'G5': 0, 'G1': 7, 'G2': 8}","{'G3': 14, 'G4': 15, 'G1': 7, 'G2': 8}",733.0,6414000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_016,0.33512,0.122167,0.275493,"{'G3': 14, 'G4': 15, 'G5': 0, 'G1': 7, 'G2': 8}","{'G3': 14, 'G4': 15, 'G1': 7, 'G2': 8}",733.0,6414000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_017,0.33512,0.122167,0.275493,"{'G3': 14, 'G4': 15, 'G5': 0, 'G1': 7, 'G2': 8}","{'G3': 14, 'G4': 15, 'G1': 7, 'G2': 8}",733.0,6414000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_018,0.33512,0.122167,0.275493,"{'G3': 14, 'G4': 15, 'G5': 0, 'G1': 7, 'G2': 8}","{'G3': 14, 'G4': 15, 'G1': 7, 'G2': 8}",733.0,6414000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
