item_id,type_id,category,x,y,z,length,width,height,weight,orientation_id,rotation,truck_id,support_by,direct_supported_weight
G1_车型2_001_0001,G1,standard,0,0,0,60,40,30,12,1,LWH,车型2_001,,18.0
G1_车型2_001_0002,G1,standard,0,40,0,60,40,30,12,1,LWH,车型2_001,,18.0
G1_车型2_001_0003,G1,standard,0,80,0,30,40,60,12,6,HWL,车型2_001,,12.0
G1_车型2_001_0004,G1,standard,0,120,0,30,40,60,12,6,HWL,车型2_001,,12.0
G1_车型2_001_0005,G1,standard,30,80,0,30,40,60,12,6,HWL,车型2_001,,12.0
G1_车型2_001_0006,G1,standard,30,120,0,30,40,60,12,6,HWL,车型2_001,,12.0
G1_车型2_001_0007,G1,standard,0,80,60,30,40,60,12,6,HWL,车型2_001,G1_车型2_001_0003,12.0
G1_车型2_001_0008,G1,standard,0,120,60,30,40,60,12,6,HWL,车型2_001,G1_车型2_001_0004,12.0
G1_车型2_001_0009,G1,standard,30,80,60,30,40,60,12,6,HWL,车型2_001,G1_车型2_001_0005,12.0
G1_车型2_001_0010,G1,standard,30,120,60,30,40,60,12,6,HWL,车型2_001,G1_车型2_001_0006,12.0
G1_车型2_001_0011,G1,standard,0,80,120,30,40,60,12,6,HWL,车型2_001,G1_车型2_001_0007,5.142857
G1_车型2_001_0012,G1,standard,0,120,120,30,40,60,12,6,HWL,车型2_001,G1_车型2_001_0008,3.857143
G1_车型2_001_0013,G1,standard,30,80,120,30,40,60,12,6,HWL,车型2_001,G1_车型2_001_0009,3.428571
G1_车型2_001_0014,G1,standard,30,120,120,30,40,60,12,6,HWL,车型2_001,G1_车型2_001_0010,2.571429
G3_车型2_001_0001,G3,fragile,0,80,180,50,70,40,15,2,WLH,车型2_001,G1_车型2_001_0011;G1_车型2_001_0012;G1_车型2_001_0013;G1_车型2_001_0014,0.0
G1_车型2_001_0015,G1,standard,0,160,0,30,40,60,12,6,HWL,车型2_001,,12.0
G1_车型2_001_0016,G1,standard,0,200,0,30,40,60,12,6,HWL,车型2_001,,12.0
G1_车型2_001_0017,G1,standard,30,160,0,30,40,60,12,6,HWL,车型2_001,,12.0
G1_车型2_001_0018,G1,standard,30,200,0,30,40,60,12,6,HWL,车型2_001,,12.0
G1_车型2_001_0019,G1,standard,0,160,60,30,40,60,12,6,HWL,车型2_001,G1_车型2_001_0015,12.0
G1_车型2_001_0020,G1,standard,0,200,60,30,40,60,12,6,HWL,车型2_001,G1_车型2_001_0016,12.0
G1_车型2_001_0021,G1,standard,30,160,60,30,40,60,12,6,HWL,车型2_001,G1_车型2_001_0017,12.0
G1_车型2_001_0022,G1,standard,30,200,60,30,40,60,12,6,HWL,车型2_001,G1_车型2_001_0018,12.0
G1_车型2_001_0023,G1,standard,0,160,120,30,40,60,12,6,HWL,车型2_001,G1_车型2_001_0019,5.142857
G1_车型2_001_0024,G1,standard,0,200,120,30,40,60,12,6,HWL,车型2_001,G1_车型2_001_0020,3.857143
G1_车型2_001_0025,G1,standard,30,160,120,30,40,60,12,6,HWL,车型2_001,G1_车型2_001_0021,3.428571
G1_车型2_001_0026,G1,standard,30,200,120,30,40,60,12,6,HWL,车型2_001,G1_车型2_001_0022,2.571429
G3_车型2_001_0002,G3,fragile,0,160,180,50,70,40,15,2,WLH,车型2_001,G1_车型2_001_0023;G1_车型2_001_0024;G1_车型2_001_0025;G1_车型2_001_0026,0.0
G1_车型2_001_0027,G1,standard,60,0,0,60,40,30,12,1,LWH,车型2_001,,18.0
G3_车型2_001_0003,G3,fragile,60,40,0,50,70,40,15,2,WLH,车型2_001,,0.0
G2_车型2_001_0001,G2,standard,60,110,0,25,35,50,8,6,HWL,车型2_001,,8.0
G2_车型2_001_0002,G2,standard,60,145,0,25,35,50,8,6,HWL,车型2_001,,8.0
G2_车型2_001_0003,G2,standard,85,110,0,25,35,50,8,6,HWL,车型2_001,,8.0
G2_车型2_001_0004,G2,standard,85,145,0,25,35,50,8,6,HWL,车型2_001,,8.0
G2_车型2_001_0005,G2,standard,60,110,50,25,35,50,8,6,HWL,车型2_001,G2_车型2_001_0001,8.0
G2_车型2_001_0006,G2,standard,60,145,50,25,35,50,8,6,HWL,车型2_001,G2_车型2_001_0002,8.0
G2_车型2_001_0007,G2,standard,85,110,50,25,35,50,8,6,HWL,车型2_001,G2_车型2_001_0003,8.0
G2_车型2_001_0008,G2,standard,85,145,50,25,35,50,8,6,HWL,车型2_001,G2_车型2_001_0004,8.0
