item_id,type_id,category,x,y,z,length,width,height,weight,orientation_id,rotation,truck_id,support_by,direct_supported_weight
G4_车型2_001_0001,G4,oriented,0,0,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0002,G4,oriented,0,60,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0003,G4,oriented,0,120,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0004,G4,oriented,0,180,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0005,G4,oriented,80,0,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0006,G4,oriented,80,60,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0007,G4,oriented,80,120,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0008,G4,oriented,80,180,0,80,60,50,25,1,LWH,车型2_001,,25.0
G3_车型2_001_0001,G3,fragile,160,0,0,70,50,40,15,1,LWH,车型2_001,,0.0
G3_车型2_001_0002,G3,fragile,160,50,0,70,50,40,15,1,LWH,车型2_001,,0.0
G3_车型2_001_0003,G3,fragile,160,100,0,70,50,40,15,1,LWH,车型2_001,,0.0
G3_车型2_001_0004,G3,fragile,160,150,0,70,50,40,15,1,LWH,车型2_001,,0.0
G5_车型2_001_0001,G5,oriented,160,200,0,40,40,60,18,1,LWH,车型2_001,,18.0
G1_车型2_001_0001,G1,standard,200,200,0,30,40,60,12,6,HWL,车型2_001,,12.0
G4_车型2_001_0009,G4,oriented,230,0,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0010,G4,oriented,230,60,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0011,G4,oriented,230,120,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0012,G4,oriented,230,180,0,80,60,50,25,1,LWH,车型2_001,,25.0
G5_车型2_001_0002,G5,oriented,310,0,0,40,40,60,18,1,LWH,车型2_001,,18.0
G5_车型2_001_0003,G5,oriented,310,40,0,40,40,60,18,1,LWH,车型2_001,,18.0
G5_车型2_001_0004,G5,oriented,310,80,0,40,40,60,18,1,LWH,车型2_001,,18.0
G5_车型2_001_0005,G5,oriented,310,120,0,40,40,60,18,1,LWH,车型2_001,,18.0
G5_车型2_001_0006,G5,oriented,310,160,0,40,40,60,18,1,LWH,车型2_001,,18.0
G5_车型2_001_0007,G5,oriented,310,200,0,40,40,60,18,1,LWH,车型2_001,,18.0
G4_车型2_001_0013,G4,oriented,350,0,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0014,G4,oriented,350,60,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0015,G4,oriented,350,120,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0016,G4,oriented,350,180,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0017,G4,oriented,430,0,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0018,G4,oriented,430,60,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0019,G4,oriented,430,120,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0020,G4,oriented,430,180,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0021,G4,oriented,510,0,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0022,G4,oriented,510,60,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0023,G4,oriented,510,120,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0024,G4,oriented,510,180,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0025,G4,oriented,590,0,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0026,G4,oriented,590,60,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0027,G4,oriented,590,120,0,80,60,50,25,1,LWH,车型2_001,,25.0
G4_车型2_001_0028,G4,oriented,590,180,0,80,60,50,25,1,LWH,车型2_001,,25.0
G1_车型2_001_0002,G1,standard,200,200,60,30,40,60,12,6,HWL,车型2_001,G1_车型2_001_0001,12.0
G1_车型2_001_0003,G1,standard,200,200,120,30,40,60,12,6,HWL,车型2_001,G1_车型2_001_0002,12.0
G1_车型2_001_0004,G1,standard,200,200,180,30,40,60,12,6,HWL,车型2_001,G1_车型2_001_0003,0.0
G5_车型2_001_0008,G5,oriented,310,0,60,40,40,60,18,1,LWH,车型2_001,G5_车型2_001_0002,18.0
G5_车型2_001_0009,G5,oriented,310,0,120,40,40,60,18,1,LWH,车型2_001,G5_车型2_001_0008,18.0
G5_车型2_001_0010,G5,oriented,310,0,180,40,40,60,18,1,LWH,车型2_001,G5_车型2_001_0009,0.0
G5_车型2_001_0011,G5,oriented,310,40,60,40,40,60,18,1,LWH,车型2_001,G5_车型2_001_0003,18.0
G5_车型2_001_0012,G5,oriented,310,40,120,40,40,60,18,1,LWH,车型2_001,G5_车型2_001_0011,18.0
G5_车型2_001_0013,G5,oriented,310,40,180,40,40,60,18,1,LWH,车型2_001,G5_车型2_001_0012,0.0
G5_车型2_001_0014,G5,oriented,310,80,60,40,40,60,18,1,LWH,车型2_001,G5_车型2_001_0004,18.0
G5_车型2_001_0015,G5,oriented,310,80,120,40,40,60,18,1,LWH,车型2_001,G5_车型2_001_0014,18.0
G5_车型2_001_0016,G5,oriented,310,80,180,40,40,60,18,1,LWH,车型2_001,G5_车型2_001_0015,0.0
G5_车型2_001_0017,G5,oriented,310,120,60,40,40,60,18,1,LWH,车型2_001,G5_车型2_001_0005,18.0
G5_车型2_001_0018,G5,oriented,310,120,120,40,40,60,18,1,LWH,车型2_001,G5_车型2_001_0017,18.0
G5_车型2_001_0019,G5,oriented,310,120,180,40,40,60,18,1,LWH,车型2_001,G5_车型2_001_0018,0.0
G5_车型2_001_0020,G5,oriented,310,160,60,40,40,60,18,1,LWH,车型2_001,G5_车型2_001_0006,18.0
G5_车型2_001_0021,G5,oriented,310,160,120,40,40,60,18,1,LWH,车型2_001,G5_车型2_001_0020,18.0
G5_车型2_001_0022,G5,oriented,310,160,180,40,40,60,18,1,LWH,车型2_001,G5_车型2_001_0021,0.0
G5_车型2_001_0023,G5,oriented,160,200,60,40,40,60,18,1,LWH,车型2_001,G5_车型2_001_0001,18.0
G5_车型2_001_0024,G5,oriented,160,200,120,40,40,60,18,1,LWH,车型2_001,G5_车型2_001_0023,18.0
G5_车型2_001_0025,G5,oriented,160,200,180,40,40,60,18,1,LWH,车型2_001,G5_车型2_001_0024,0.0
G5_车型2_001_0026,G5,oriented,310,200,60,40,40,60,18,1,LWH,车型2_001,G5_车型2_001_0007,18.0
G5_车型2_001_0027,G5,oriented,310,200,120,40,40,60,18,1,LWH,车型2_001,G5_车型2_001_0026,18.0
G5_车型2_001_0028,G5,oriented,310,200,180,40,40,60,18,1,LWH,车型2_001,G5_车型2_001_0027,0.0
G4_车型2_001_0029,G4,oriented,0,0,50,80,60,50,25,1,LWH,车型2_001,G4_车型2_001_0001,25.0
G4_车型2_001_0030,G4,oriented,0,0,100,80,60,50,25,1,LWH,车型2_001,G4_车型2_001_0029,25.0
G4_车型2_001_0031,G4,oriented,0,0,150,80,60,50,25,1,LWH,车型2_001,G4_车型2_001_0030,12.0
G1_车型2_001_0005,G1,standard,0,0,200,60,40,30,12,1,LWH,车型2_001,G4_车型2_001_0031,0.0
G4_车型2_001_0032,G4,oriented,80,0,50,80,60,50,25,1,LWH,车型2_001,G4_车型2_001_0005,25.0
G4_车型2_001_0033,G4,oriented,80,0,100,80,60,50,25,1,LWH,车型2_001,G4_车型2_001_0032,25.0
G4_车型2_001_0034,G4,oriented,80,0,150,80,60,50,25,1,LWH,车型2_001,G4_车型2_001_0033,12.0
G1_车型2_001_0006,G1,standard,80,0,200,60,40,30,12,1,LWH,车型2_001,G4_车型2_001_0034,0.0
G4_车型2_001_0035,G4,oriented,230,0,50,80,60,50,25,1,LWH,车型2_001,G4_车型2_001_0009,25.0
G4_车型2_001_0036,G4,oriented,230,0,100,80,60,50,25,1,LWH,车型2_001,G4_车型2_001_0035,25.0
G4_车型2_001_0037,G4,oriented,230,0,150,80,60,50,25,1,LWH,车型2_001,G4_车型2_001_0036,12.0
