vehicle_id,space_utilization,weight_utilization,fullness_score,actual_counts,loaded_weight_kg,loaded_volume_cm3,module_count
车型2_001,0.681989,0.4555,0.618572,"{'G1': 143, 'G3': 21, 'G2': 80, 'G5': 88, 'G4': 12}",4555.0,28064000,14
车型2_002,0.702828,0.4299,0.626408,"{'G4': 28, 'G1': 174, 'G3': 25, 'G2': 106, 'G5': 16}",4299.0,28921500,16
车型2_003,0.627652,0.3736,0.556517,"{'G3': 24, 'G1': 116, 'G5': 16, 'G2': 112, 'G4': 32}",3736.0,25828000,14
车型2_004,0.726212,0.3946,0.63336,"{'G4': 72, 'G2': 161, 'G3': 14, 'G5': 24, 'G1': 18}",3946.0,29883750,7
车型2_005,0.727275,0.3954,0.63435,"{'G4': 72, 'G2': 162, 'G3': 14, 'G5': 24, 'G1': 18}",3954.0,29927500,8
车型2_006,0.710106,0.5007,0.651472,"{'G5': 208, 'G3': 17, 'G2': 60, 'G1': 19, 'G4': 12}",5007.0,29221000,5
车型2_007,0.401535,0.2554,0.360617,"{'G3': 38, 'G2': 131, 'G5': 12, 'G1': 60}",2554.0,16523250,11
车型2_008,0.713994,0.3634,0.615828,"{'G4': 80, 'G2': 76, 'G3': 14, 'G1': 68}",3634.0,29381000,7
车型2_009,0.438151,0.2818,0.394373,"{'G3': 38, 'G2': 104, 'G5': 28, 'G1': 76}",2818.0,18030000,12
车型2_010,0.63747,0.3286,0.550986,"{'G4': 64, 'G3': 18, 'G5': 12, 'G1': 100}",3286.0,26232000,3
车型2_011,0.432027,0.2501,0.381087,"{'G3': 23, 'G5': 72, 'G1': 8, 'G4': 28, 'G2': 8}",2501.0,17778000,1
车型2_012,0.132685,0.0585,0.111913,{'G3': 39},585.0,5460000,0
车型2_013,0.051033,0.0225,0.043043,{'G3': 15},225.0,2100000,0
