vehicle_id,truck_type,space_utilization,weight_utilization,fullness_score,target_counts,actual_counts,loaded_weight_kg,loaded_volume_cm3,feasible_full_pack,policy_desc
车型2_001,车型2,0.525502,0.308,0.464601,"{'G3': 48, 'G4': 16, 'G5': 36, 'G1': 68, 'G2': 62}","{'G3': 48, 'G4': 16, 'G5': 36, 'G1': 68, 'G2': 62}",3080.0,21624500,True,g3_ratio=0.24;order=G5-G4-G2-G1;wf=0.20;wr=0.17;wv=0.63;row=2;relax=0
车型2_002,车型2,0.525502,0.308,0.464601,"{'G3': 48, 'G4': 16, 'G5': 36, 'G1': 68, 'G2': 62}","{'G3': 48, 'G4': 16, 'G5': 36, 'G1': 68, 'G2': 62}",3080.0,21624500,True,g3_ratio=0.24;order=G5-G4-G2-G1;wf=0.20;wr=0.17;wv=0.63;row=2;relax=0
车型2_003,车型2,0.488655,0.283,0.431072,"{'G3': 48, 'G4': 16, 'G5': 37, 'G1': 66, 'G2': 63}","{'G3': 48, 'G1': 45, 'G4': 16, 'G2': 63, 'G5': 37}",2830.0,20108250,False,g3_ratio=0.66;order=G2-G5-G4-G1;wf=0.21;wr=0.64;wv=0.15;row=2;relax=0
车型2_004,车型2,0.488655,0.283,0.431072,"{'G3': 48, 'G4': 16, 'G5': 37, 'G1': 66, 'G2': 63}","{'G3': 48, 'G1': 45, 'G4': 16, 'G2': 63, 'G5': 37}",2830.0,20108250,False,g3_ratio=0.66;order=G2-G5-G4-G1;wf=0.21;wr=0.64;wv=0.15;row=2;relax=0
车型2_005,车型2,0.489718,0.2838,0.432061,"{'G3': 48, 'G4': 16, 'G5': 37, 'G1': 65, 'G2': 64}","{'G3': 48, 'G1': 45, 'G4': 16, 'G2': 64, 'G5': 37}",2838.0,20152000,False,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型2_006,车型2,0.525532,0.309,0.464903,"{'G3': 48, 'G4': 16, 'G5': 37, 'G1': 60, 'G2': 73}","{'G3': 48, 'G4': 16, 'G5': 37, 'G1': 60, 'G2': 73}",3090.0,21625750,True,g3_ratio=0.27;order=G1-G4-G5-G2;wf=0.28;wr=0.05;wv=0.66;row=2;relax=0
车型2_007,车型2,0.677008,0.314,0.575366,"{'G3': 12, 'G4': 96, 'G5': 0, 'G1': 12, 'G2': 52}","{'G3': 12, 'G4': 96, 'G1': 12, 'G2': 52}",3140.0,27859000,True,g3_ratio=1.00;order=G2-G4-G1-G5;wf=0.20;wr=0.39;wv=0.41;row=0;relax=0
车型2_008,车型2,0.774528,0.3392,0.652636,"{'G3': 0, 'G4': 128, 'G5': 0, 'G1': 16, 'G2': 0}","{'G4': 128, 'G1': 16}",3392.0,31872000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型2_009,车型2,0.750033,0.416,0.656504,"{'G3': 0, 'G4': 80, 'G5': 108, 'G1': 18, 'G2': 0}","{'G4': 80, 'G1': 18, 'G5': 108}",4160.0,30864000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型2_010,车型2,0.505417,0.361,0.46498,"{'G3': 0, 'G4': 0, 'G5': 1, 'G1': 166, 'G2': 200}","{'G2': 200, 'G1': 166, 'G5': 1}",3610.0,20798000,True,g3_ratio=0.89;order=G1-G5-G4-G2;wf=0.43;wr=0.21;wv=0.36;row=1;relax=0
车型1_011,车型1,0.541906,0.307,0.476132,"{'G3': 0, 'G4': 0, 'G5': 45, 'G1': 64, 'G2': 33}","{'G5': 45, 'G1': 64, 'G2': 33}",1842.0,10371750,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型2_012,车型2,0.501784,0.3704,0.464996,"{'G3': 0, 'G4': 0, 'G5': 64, 'G1': 86, 'G2': 190}","{'G1': 86, 'G2': 190, 'G5': 64}",3704.0,20648500,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型2_013,车型2,0.502173,0.3682,0.46466,"{'G3': 0, 'G4': 0, 'G5': 63, 'G1': 107, 'G2': 158}","{'G1': 107, 'G2': 158, 'G5': 63}",3682.0,20664500,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
