item_id,type_id,category,x,y,z,length,width,height,weight,orientation_id,rotation,truck_id
G3_007_0001,G3,fragile,0,0,0,50,40,70,15,4,WHL,车型2_007
G3_007_0002,G3,fragile,50,0,0,50,40,70,15,4,WHL,车型2_007
G3_007_0003,G3,fragile,100,0,0,50,40,70,15,4,WHL,车型2_007
G3_007_0004,G3,fragile,150,0,0,50,40,70,15,4,WHL,车型2_007
G3_007_0005,G3,fragile,200,0,0,50,40,70,15,4,WHL,车型2_007
G3_007_0006,G3,fragile,250,0,0,50,40,70,15,4,WHL,车型2_007
G3_007_0007,G3,fragile,300,0,0,50,40,70,15,4,WHL,车型2_007
G3_007_0008,G3,fragile,350,0,0,50,40,70,15,4,WHL,车型2_007
G3_007_0009,G3,fragile,400,0,0,50,40,70,15,4,WHL,车型2_007
G3_007_0010,G3,fragile,450,0,0,50,40,70,15,4,WHL,车型2_007
G3_007_0011,G3,fragile,500,0,0,50,40,70,15,4,WHL,车型2_007
G3_007_0012,G3,fragile,550,0,0,50,40,70,15,4,WHL,车型2_007
G4_007_0001,G4,oriented,0,40,0,80,60,50,25,1,LWH,车型2_007
G4_007_0002,G4,oriented,80,40,0,80,60,50,25,1,LWH,车型2_007
G4_007_0003,G4,oriented,160,40,0,80,60,50,25,1,LWH,车型2_007
G4_007_0004,G4,oriented,240,40,0,80,60,50,25,1,LWH,车型2_007
G4_007_0005,G4,oriented,320,40,0,80,60,50,25,1,LWH,车型2_007
G4_007_0006,G4,oriented,400,40,0,80,60,50,25,1,LWH,车型2_007
G4_007_0007,G4,oriented,480,40,0,80,60,50,25,1,LWH,车型2_007
G4_007_0008,G4,oriented,560,40,0,80,60,50,25,1,LWH,车型2_007
G1_007_0001,G1,standard,640,40,0,40,60,30,12,3,WLH,车型2_007
G4_007_0009,G4,oriented,0,100,0,80,60,50,25,1,LWH,车型2_007
G4_007_0010,G4,oriented,80,100,0,80,60,50,25,1,LWH,车型2_007
G4_007_0011,G4,oriented,160,100,0,80,60,50,25,1,LWH,车型2_007
G4_007_0012,G4,oriented,240,100,0,80,60,50,25,1,LWH,车型2_007
G4_007_0013,G4,oriented,320,100,0,80,60,50,25,1,LWH,车型2_007
G4_007_0014,G4,oriented,400,100,0,80,60,50,25,1,LWH,车型2_007
G4_007_0015,G4,oriented,480,100,0,80,60,50,25,1,LWH,车型2_007
G4_007_0016,G4,oriented,560,100,0,80,60,50,25,1,LWH,车型2_007
G1_007_0002,G1,standard,640,100,0,40,60,30,12,3,WLH,车型2_007
G4_007_0017,G4,oriented,0,160,0,80,60,50,25,1,LWH,车型2_007
G4_007_0018,G4,oriented,80,160,0,80,60,50,25,1,LWH,车型2_007
G4_007_0019,G4,oriented,160,160,0,80,60,50,25,1,LWH,车型2_007
G4_007_0020,G4,oriented,240,160,0,80,60,50,25,1,LWH,车型2_007
G4_007_0021,G4,oriented,320,160,0,80,60,50,25,1,LWH,车型2_007
G4_007_0022,G4,oriented,400,160,0,80,60,50,25,1,LWH,车型2_007
G4_007_0023,G4,oriented,480,160,0,80,60,50,25,1,LWH,车型2_007
G4_007_0024,G4,oriented,560,160,0,80,60,50,25,1,LWH,车型2_007
G1_007_0003,G1,standard,640,160,0,40,60,30,12,3,WLH,车型2_007
G2_007_0001,G2,standard,0,220,0,50,25,35,8,2,LHW,车型2_007
G2_007_0002,G2,standard,50,220,0,50,25,35,8,2,LHW,车型2_007
G2_007_0003,G2,standard,100,220,0,50,25,35,8,2,LHW,车型2_007
G2_007_0004,G2,standard,150,220,0,50,25,35,8,2,LHW,车型2_007
G2_007_0005,G2,standard,200,220,0,50,25,35,8,2,LHW,车型2_007
G2_007_0006,G2,standard,250,220,0,50,25,35,8,2,LHW,车型2_007
G2_007_0007,G2,standard,300,220,0,50,25,35,8,2,LHW,车型2_007
G2_007_0008,G2,standard,350,220,0,50,25,35,8,2,LHW,车型2_007
G2_007_0009,G2,standard,400,220,0,50,25,35,8,2,LHW,车型2_007
G2_007_0010,G2,standard,450,220,0,50,25,35,8,2,LHW,车型2_007
G2_007_0011,G2,standard,500,220,0,50,25,35,8,2,LHW,车型2_007
G2_007_0012,G2,standard,550,220,0,50,25,35,8,2,LHW,车型2_007
G2_007_0013,G2,standard,600,220,0,50,25,35,8,2,LHW,车型2_007
G4_007_0025,G4,oriented,0,40,50,80,60,50,25,1,LWH,车型2_007
G4_007_0026,G4,oriented,80,40,50,80,60,50,25,1,LWH,车型2_007
G4_007_0027,G4,oriented,160,40,50,80,60,50,25,1,LWH,车型2_007
G4_007_0028,G4,oriented,240,40,50,80,60,50,25,1,LWH,车型2_007
G4_007_0029,G4,oriented,320,40,50,80,60,50,25,1,LWH,车型2_007
G4_007_0030,G4,oriented,400,40,50,80,60,50,25,1,LWH,车型2_007
G4_007_0031,G4,oriented,480,40,50,80,60,50,25,1,LWH,车型2_007
G4_007_0032,G4,oriented,560,40,50,80,60,50,25,1,LWH,车型2_007
G1_007_0004,G1,standard,640,40,50,40,60,30,12,3,WLH,车型2_007
G4_007_0033,G4,oriented,0,100,50,80,60,50,25,1,LWH,车型2_007
G4_007_0034,G4,oriented,80,100,50,80,60,50,25,1,LWH,车型2_007
G4_007_0035,G4,oriented,160,100,50,80,60,50,25,1,LWH,车型2_007
G4_007_0036,G4,oriented,240,100,50,80,60,50,25,1,LWH,车型2_007
G4_007_0037,G4,oriented,320,100,50,80,60,50,25,1,LWH,车型2_007
G4_007_0038,G4,oriented,400,100,50,80,60,50,25,1,LWH,车型2_007
G4_007_0039,G4,oriented,480,100,50,80,60,50,25,1,LWH,车型2_007
