x_launches_per_year,time_years,cost_millionUSD,emissions_MtCO2
9950,49.273220,20343684.296679,795.816149
9900,49.455984,20343684.296679,794.754080
9850,49.640109,20343684.296679,793.684103
9800,49.825610,20343684.296679,792.606129
9750,50.012503,19632643.331845,791.520068
9700,50.200803,19632643.331845,790.425828
9650,50.390527,19632643.331845,789.323318
9600,50.581689,19632643.331845,788.212443
9550,50.774308,19632643.331845,787.093107
9500,50.968400,19632643.331845,785.965214
9450,51.163981,18966847.265253,784.828665
9400,51.361068,18966847.265253,783.683359
9350,51.559680,18966847.265253,782.529196
9300,51.759834,18966847.265253,781.366071
9250,51.961548,18966847.265253,780.193882
9200,52.164841,18351058.142609,779.012520
9150,52.369730,18351058.142609,777.821877
9100,52.576236,18351058.142609,776.621845
9050,52.784376,18351058.142609,775.412312
9000,52.994171,18351058.142609,774.193164
8950,53.205640,17775607.747373,772.964286
8900,53.418803,17775607.747373,771.725561
8850,53.633682,17775607.747373,770.476870
8800,53.850296,17775607.747373,769.218094
8750,54.068667,17237312.896573,767.949108
8700,54.288817,17237312.896573,766.669788
8650,54.510766,17237312.896573,765.380008
8600,54.734537,17237312.896573,764.079639
8550,54.960154,17237312.896573,762.768549
8500,55.187638,16740069.928535,761.446606
8450,55.417013,16740069.928535,760.113674
8400,55.648303,16740069.928535,758.769616
8350,55.881531,16740069.928535,757.414292
8300,56.116723,16274457.987560,756.047559
8250,56.353903,16274457.987560,754.669273
8200,56.593096,16274457.987560,753.279287
8150,56.834328,16274457.987560,751.877451
8100,57.077626,15840217.405831,750.463613
8050,57.323015,15840217.405831,749.037618
8000,57.570524,15840217.405831,747.599309
7950,57.820179,15840217.405831,746.148526
7900,58.072009,15437940.906051,744.685105
7850,58.326043,15437940.906051,743.208880
7800,58.582308,15437940.906051,741.719684
7750,58.840836,15437940.906051,740.217343
7700,59.101655,15061291.525234,738.701684
7650,59.364797,15061291.525234,737.172529
7600,59.630292,15061291.525234,735.629696
7550,59.898173,15061291.525234,734.073001
7500,60.168472,14711093.096366,732.502256
7450,60.441221,14711093.096366,730.917271
7400,60.716454,14711093.096366,729.317851
7350,60.994206,14711093.096366,727.703797
7300,61.274510,14385726.443543,726.074908
7250,61.557402,14385726.443543,724.430979
7200,61.842919,14385726.443543,722.771800
7150,62.131097,14081118.735761,721.097158
7100,62.421973,14081118.735761,719.406835
7050,62.715585,14081118.735761,717.700611
7000,63.011972,13798784.440309,715.978261
6950,63.311174,13798784.440309,714.239554
6900,63.613232,13798784.440309,712.484256
6850,63.918185,13798784.440309,710.712128
6800,64.226076,13535692.830967,708.922929
6750,64.536947,13535692.830967,707.116409
6700,64.850843,13535692.830967,705.292315
6650,65.167807,13289413.433958,703.450391
6600,65.487885,13289413.433958,701.590373
6550,65.811122,13289413.433958,699.711994
6500,66.137566,13061866.928509,697.814980
6450,66.467265,13061866.928509,695.899053
6400,66.800267,13061866.928509,693.963928
6350,67.136623,12849190.551777,692.009315
6300,67.476383,12849190.551777,690.034919
6250,67.819600,12849190.551777,688.040437
6200,68.166326,12650406.225677,686.025562
6150,68.516615,12650406.225677,683.989979
6100,68.870523,12650406.225677,681.933368
6050,69.228107,12466800.949440,679.855400
6000,69.589422,12466800.949440,677.755741
5950,69.954530,12466800.949440,675.634050
5900,70.323488,12294930.197763,673.489979
5850,70.696359,12294930.197763,671.323171
5800,71.073205,12134783.331887,669.133262
5750,71.454091,12134783.331887,666.919882
5700,71.839080,12134783.331887,664.682651
5650,72.228241,11986435.188431,662.421181
5600,72.621641,11986435.188431,660.135076
5550,73.019350,11847584.913491,657.823932
5500,73.421439,11847584.913491,655.487335
