PM2.5,PM10,CO,NO2,SO2,O3,风速,压强,降水量,温度,湿度,时间
50,98,0.8,62,15,46,0.5,1020.6,89.8,15,65,2018/11/14 10:02
50,104,0.7,57,16,51,1.9,1020.7,89.8,15,64,2018/11/14 10:06
52,101,0.7,57,15,53,0.4,1020.7,89.8,15,64,2018/11/14 10:06
49,96,0.7,58,15,49,0.5,1020.6,89.8,15,64,2018/11/14 10:09
49,94,0.7,59,15,50,1.4,1020.6,89.8,15,64,2018/11/14 10:10
48,97,0.7,62,15,47,1.3,1020.4,89.8,16,64,2018/11/14 10:14
48,97,0.7,58,15,50,1.3,1020.4,89.8,16,63,2018/11/14 10:16
48,97,0.7,59,15,51,0.2,1020.3,89.8,16,63,2018/11/14 10:18
52,98,0.7,60,16,50,1.3,1020.4,89.8,16,63,2018/11/14 10:19
48,94,0.8,58,15,52,1.2,1020.4,89.8,16,63,2018/11/14 10:23
48,93,0.7,57,15,54,1.7,1020.4,89.8,16,63,2018/11/14 10:24
45,93,0.7,57,15,52,2.7,1020.2,89.8,16,61,2018/11/14 10:28
49,97,0.7,56,15,53,1.2,1020.2,89.8,16,61,2018/11/14 10:29
44,88,0.7,58,15,50,2.1,1020.1,89.8,17,60,2018/11/14 10:33
44,89,0.7,57,15,50,1.1,1020.2,89.8,16,60,2018/11/14 10:34
44,91,0.7,53,15,56,2.1,1020.2,89.8,16,60,2018/11/14 10:38
47,94,0.7,53,15,56,0.5,1020.1,89.8,17,60,2018/11/14 10:39
42,85,0.7,55,15,57,0.9,1020,89.8,17,58,2018/11/14 10:42
44,89,0.7,54,15,55,0.7,1020.1,89.8,17,58,2018/11/14 10:43
44,92,0.7,55,15,55,1.4,1020,89.8,17,57,2018/11/14 10:47
41,85,0.7,54,15,57,0.8,1019.9,89.8,17,58,2018/11/14 10:48
46,91,0.7,50,15,58,0.6,1020,89.8,17,59,2018/11/14 10:52
42,87,0.7,50,15,59,1,1019.9,89.8,17,59,2018/11/14 10:53
43,87,0.7,55,16,59,0.9,1020,89.8,17,57,2018/11/14 10:57
41,83,0.8,55,15,56,2,1019.9,89.8,17,57,2018/11/14 10:58
41,81,0.7,46,15,58,0.7,1019.7,89.8,17,58,2018/11/14 11:02
40,83,0.8,52,15,59,1.4,1019.6,89.8,17,56,2018/11/14 11:07
