wn（波数）,n（反射率）,k（消光系数）,alpha(吸收系数)
500,3.470232482,0.000332178,2.087135827
500.2501251,3.470231669,0.00033269,2.091398517
500.5005005,3.470230852,0.000333192,2.095602579
500.7511267,3.470230033,0.000333683,2.099741633
501.002004,3.470229212,0.000334163,2.10381558
501.2531328,3.470228388,0.000334632,2.107824324
501.5045135,3.470227562,0.000335091,2.111774067
501.7561465,3.470226734,0.000335538,2.115652111
502.0080321,3.470225905,0.000335975,2.119470964
502.2601708,3.470225074,0.0003364,2.123217915
502.5125628,3.470224242,0.000336814,2.126899168
502.7652086,3.470223409,0.000337216,2.130508309
503.0181087,3.470222576,0.000337607,2.134051548
503.2712632,3.470221741,0.000337987,2.137528786
503.5246727,3.470220906,0.000338355,2.140933596
503.7783375,3.470220071,0.000338712,2.144272199
504.0322581,3.470219236,0.000339057,2.147538162
504.2864347,3.470218401,0.00033939,2.150731374
504.5408678,3.470217567,0.000339712,2.153858065
504.7955578,3.470216733,0.000340022,2.156911792
505.0505051,3.4702159,0.00034032,2.159892444
505.30571,3.470215068,0.000340606,2.162799909
505.5611729,3.470214238,0.000340881,2.165640431
505.8168943,3.470213409,0.000341144,2.16840755
506.0728745,3.470212582,0.000341395,2.171101157
506.3291139,3.470211756,0.000341634,2.173721139
506.585613,3.470210934,0.000341861,2.176267383
506.842372,3.470210113,0.000342076,2.178739779
507.0993915,3.470209296,0.000342279,2.181138214
507.3566717,3.470208481,0.000342471,2.18346895
507.6142132,3.470207669,0.00034265,2.185719127
507.8720163,3.470206861,0.000342818,2.187901387
508.1300813,3.470206057,0.000342974,2.19000924
508.3884087,3.470205256,0.000343119,2.192048962
508.646999,3.47020446,0.000343251,2.194007665
508.9058524,3.470203668,0.000343372,2.195898015
509.1649695,3.47020288,0.000343481,2.19771351
509.4243505,3.470202097,0.000343578,2.199454036
509.6839959,3.47020132,0.000343664,2.201125882
509.9439062,3.470200548,0.000343738,2.202722535
510.2040816,3.470199781,0.000343801,2.204250292
510.4645227,3.47019902,0.000343852,2.205702633
510.7252298,3.470198265,0.000343892,2.207085859
510.9862034,3.470197516,0.000343921,2.208399865
511.2474438,3.470196774,0.000343939,2.209644546
511.5089514,3.470196039,0.000343945,2.210813366
511.7707267,3.47019531,0.000343941,2.211919071
512.0327701,3.470194589,0.000343925,2.212948695
512.295082,3.470193875,0.000343899,2.213914998
512.5576627,3.470193169,0.000343861,2.214805
512.8205128,3.470192471,0.000343814,2.215637915
513.0836326,3.47019178,0.000343755,2.216394315
513.3470226,3.470191098,0.000343686,2.217086981
513.6106831,3.470190425,0.000343607,2.217715817
513.8746146,3.47018976,0.000343518,2.218280724
514.1388175,3.470189105,0.000343419,2.218781604
514.4032922,3.470188458,0.00034331,2.219218356
514.6680391,3.470187821,0.000343191,2.219590884
514.9330587,3.470187194,0.000343062,2.219899086
515.1983514,3.470186577,0.000342924,2.220149338
515.4639175,3.470185969,0.000342776,2.220335074
515.7297576,3.470185372,0.000342619,2.220462673
515.995872,3.470184785,0.000342454,2.22053853
516.2622612,3.470184209,0.000342279,2.220549591
516.5289256,3.470183644,0.000342095,2.220502244
516.7958656,3.47018309,0.000341903,2.220402895
517.0630817,3.470182547,0.000341703,2.220251462
517.3305742,3.470182016,0.000341494,2.220041364
517.5983437,3.470181497,0.000341277,2.219779014
517.8663905,3.470180989,0.000341053,2.219470838
518.134715,3.470180493,0.000340821,2.219110254
518.4033178,3.470180009,0.000340581,2.21869718
518.6721992,3.470179538,0.000340334,2.218238054
518.9413596,3.470179079,0.00034008,2.217732802
519.2107996,3.470178633,0.000339818,2.217174829
519.4805195,3.4701782,0.00033955,2.216577108
519.7505198,3.47017778,0.000339276,2.215939578
520.0208008,3.470177374,0.000338995,2.215255641
520.2913632,3.47017698,0.000338709,2.214538302
520.5622072,3.4701766,0.000338416,2.213774425
520.8333333,3.470176234,0.000338117,2.212970482
521.1047421,3.470175882,0.000337813,2.212132959
521.3764338,3.470175543,0.000337504,2.211261804
521.648409,3.470175219,0.00033719,2.210356964
521.9206681,3.470174909,0.000336871,2.209418386
522.1932115,3.470174614,0.000336547,2.208446018
522.4660397,3.470174333,0.000336219,2.207446371
522.7391532,3.470174066,0.000335887,2.206419404
523.0125523,3.470173815,0.000335551,2.205365073
523.2862376,3.470173578,0.000335212,2.204289911
523.5602094,3.470173356,0.000334868,2.203180727
523.8344683,3.47017315,0.000334522,2.202057216
524.1090147,3.470172958,0.000334173,2.200912768
524.383849,3.470172782,0.000333821,2.199747352
524.6589717,3.470172622,0.000333466,2.198560933
524.9343832,3.470172477,0.000333109,2.197360076
525.210084,3.470172348,0.00033275,2.196144757
525.4860746,3.470172234,0.00033239,2.194921558
525.7623554,3.470172137,0.000332028,2.193683858
526.0389269,3.470172055,0.000331664,2.192431636
526.3157895,3.470171989,0.0003313,2.191178095
526.5929437,3.47017194,0.000330934,2.18991
526.8703899,3.470171907,0.000330568,2.188640568
527.1481286,3.470171889,0.000330202,2.187369798
527.4261603,3.470171889,0.000329836,2.186097687
527.7044855,3.470171904,0.00032947,2.184824234
527.9831045,3.470171936,0.000329105,2.183556071
528.262018,3.470171985,0.00032874,2.182286568
528.5412262,3.47017205,0.000328376,2.181022365
528.8207298,3.470172132,0.000328014,2.179770116
529.1005291,3.470172231,0.000327652,2.178516541
529.3806247,3.470172346,0.000327293,2.177281597
529.6610169,3.470172478,0.000326936,2.176058656
529.9417064,3.470172627,0.00032658,2.174841078
530.2226935,3.470172793,0.000326228,2.173648861
530.5039788,3.470172976,0.000325878,2.172468712
530.7855626,3.470173175,0.000325531,2.171307321
531.0674456,3.470173392,0.000325187,2.170164717
531.3496281,3.470173626,0.000324847,2.169047606
531.6321106,3.470173877,0.00032451,2.167949351
531.9148936,3.470174145,0.000324178,2.166883348
532.1979776,3.47017443,0.00032385,2.165842961
532.4813632,3.470174732,0.000323526,2.164828232
532.7650506,3.470175051,0.000323208,2.163852592
533.0490405,3.470175388,0.000322894,2.162902705
533.3333333,3.470175741,0.000322585,2.161985315
533.6179296,3.470176112,0.000322283,2.161113886
533.9028297,3.470176501,0.000321986,2.160275073
534.1880342,3.470176906,0.000321695,2.15947564
534.4735436,3.470177329,0.00032141,2.15871565
534.7593583,3.470177769,0.000321132,2.158001888
535.0454789,3.470178226,0.000320861,2.157334427
535.3319058,3.4701787,0.000320597,2.156713342
535.6186395,3.470179192,0.000320341,2.156145438
535.9056806,3.470179701,0.000320092,2.155624065
536.1930295,3.470180227,0.000319851,2.155156038
536.4806867,3.47018077,0.000319618,2.154741441
536.7686527,3.470181331,0.000319393,2.154380361
537.056928,3.470181909,0.000319178,2.154086382
537.3455132,3.470182504,0.000318971,2.153846107
537.6344086,3.470183117,0.000318773,2.153666379
537.9236148,3.470183746,0.000318585,2.153554054
538.2131324,3.470184393,0.000318407,2.153509243
538.5029618,3.470185057,0.000318238,2.153525286
538.7931034,3.470185738,0.00031808,2.153615824
539.083558,3.470186436,0.000317933,2.153780977
539.3743258,3.470187152,0.000317796,2.154014089
539.6654074,3.470187884,0.00031767,2.15432205
539.9568035,3.470188634,0.000317556,2.154711767
540.2485143,3.470189401,0.000317453,2.155176583
540.5405405,3.470190184,0.000317362,2.155723414
540.8328826,3.470190985,0.000317283,2.156352392
541.1255411,3.470191803,0.000317217,2.15707045
541.4185165,3.470192638,0.000317163,2.15787093
541.7118093,3.470193489,0.000317122,2.158760773
542.0054201,3.470194358,0.000317095,2.159746935
542.2993492,3.470195244,0.000317081,2.160822758
542.5935974,3.470196146,0.000317081,2.161995207
542.888165,3.470197065,0.000317094,2.163257616
543.1830527,3.470198001,0.000317122,2.164623784
543.4782609,3.470198954,0.000317165,2.166093881
543.7737901,3.470199924,0.000317223,2.167668075
544.0696409,3.47020091,0.000317296,2.169346537
544.3658138,3.470201913,0.000317384,2.171129437
544.6623094,3.470202933,0.000317488,2.17302379
544.9591281,3.470203969,0.000317608,2.175029778
545.2562704,3.470205022,0.000317745,2.177154436
545.553737,3.470206092,0.000317898,2.179391102
545.8515284,3.470207178,0.000318068,2.181746819
546.149645,3.47020828,0.000318256,2.184228646
546.4480874,3.470209399,0.000318461,2.186829922
546.7468562,3.470210534,0.000318683,2.189550842
547.0459519,3.470211686,0.000318924,2.192405353
547.3453749,3.470212854,0.000319184,2.195393674
547.645126,3.470214038,0.000319462,2.198509142
547.9452055,3.470215239,0.00031976,2.201765738
548.245614,3.470216456,0.000320077,2.205156804
548.5463522,3.470217689,0.000320413,2.208682562
548.8474204,3.470218938,0.00032077,2.212357028
549.1488193,3.470220203,0.000321148,2.216180446
549.4505495,3.470221484,0.000321546,2.220146158
549.7526113,3.470222781,0.000321965,2.224261307
550.0550055,3.470224094,0.000322406,2.228533051
550.3577325,3.470225422,0.000322868,2.232954733
550.660793,3.470226767,0.000323353,2.23754044
550.9641873,3.470228127,0.00032386,2.24228352
551.2679162,3.470229504,0.000324391,2.247198087
551.5719801,3.470230895,0.000324944,2.252270564
551.8763797,3.470232303,0.000325522,2.257522017
552.1811154,3.470233726,0.000326123,2.262938864
552.4861878,3.470235164,0.000326749,2.268535266
552.7915976,3.470236618,0.0003274,2.274311519
553.0973451,3.470238087,0.000328076,2.280267923
553.4034311,3.470239571,0.000328777,2.286404776
553.709856,3.470241071,0.000329505,2.292736294
554.0166205,3.470242585,0.000330259,2.299255839
554.3237251,3.470244115,0.000331041,2.305977656
554.6311703,3.47024566,0.000331849,2.312888141
554.9389567,3.470247219,0.000332686,2.320008529
555.247085,3.470248794,0.00033355,2.327325216
555.5555556,3.470250383,0.000334444,2.334859471
555.8643691,3.470251987,0.000335367,2.342604674
556.1735261,3.470253605,0.000336319,2.350561175
556.4830273,3.470255238,0.000337301,2.35873632
556.7928731,3.470256885,0.000338314,2.367137472
557.1030641,3.470258546,0.000339359,2.375772009
557.4136009,3.470260222,0.000340435,2.384633317
557.7244841,3.470261911,0.000341543,2.393728784
558.0357143,3.470263615,0.000342684,2.403065813
558.347292,3.470265332,0.000343858,2.41264481
558.6592179,3.470267063,0.000345066,2.422473201
558.9714925,3.470268807,0.000346308,2.432551404
559.2841163,3.470270564,0.000347585,2.442886866
559.5970901,3.470272335,0.000348898,2.453487051
559.9104143,3.470274119,0.000350247,2.464352404
560.2240896,3.470275916,0.000351632,2.47548337
560.5381166,3.470277725,0.000353055,2.486894485
560.8524958,3.470279547,0.000354516,2.498586218
561.1672278,3.470281382,0.000356015,2.510559044
561.4823133,3.470283228,0.000357554,2.522827546
561.7977528,3.470285086,0.000359132,2.535385163
562.1135469,3.470286957,0.000360752,2.548253575
562.4296963,3.470288838,0.000362412,2.56141917
562.7462015,3.470290731,0.000364115,2.574903665
563.0630631,3.470292635,0.00036586,2.588700523
563.3802817,3.47029455,0.000367648,2.602817351
563.6978579,3.470296475,0.000369481,2.617268858
564.0157924,3.47029841,0.000371359,2.63205561
564.3340858,3.470300355,0.000373282,2.647178175
564.6527386,3.47030231,0.000375252,2.662651313
564.9717514,3.470304274,0.00037727,2.678482717
565.2911249,3.470306248,0.000379335,2.694665893
565.6108597,3.470308229,0.000381449,2.711215651
565.9309564,3.470310219,0.000383614,2.728146837
566.2514156,3.470312217,0.000385829,2.745452985
566.572238,3.470314222,0.000388096,2.76314897
566.893424,3.470316234,0.000390415,2.781235456
567.2149745,3.470318252,0.000392787,2.799720234
567.5368899,3.470320277,0.000395214,2.818618248
567.8591709,3.470322307,0.000397697,2.837937337
568.1818182,3.470324342,0.000400236,2.857678218
568.5048323,3.470326382,0.000402832,2.877848755
568.8282139,3.470328425,0.000405486,2.898456829
569.1519636,3.470330472,0.0004082,2.919517492
569.476082,3.470332522,0.000410974,2.941031517
569.8005698,3.470334573,0.00041381,2.963014
570.1254276,3.470336626,0.000416709,2.985472906
570.450656,3.47033868,0.000419671,3.00840905
570.7762557,3.470340733,0.000422698,3.031837595
571.1022273,3.470342786,0.000425791,3.055766561
571.4285714,3.470344836,0.000428951,3.080203987
571.7552887,3.470346885,0.000432179,3.10515793
572.0823799,3.470348929,0.000435477,3.130643655
572.4098454,3.47035097,0.000438846,3.156669267
572.7376861,3.470353005,0.000442287,3.183242891
573.0659026,3.470355033,0.000445801,3.210372672
573.3944954,3.470357054,0.00044939,3.238073976
573.7234653,3.470359067,0.000453054,3.266347788
574.0528129,3.470361069,0.000456796,3.295216734
574.3825388,3.470363061,0.000460616,3.32468184
574.7126437,3.47036504,0.000464516,3.354758579
575.0431282,3.470367005,0.000468497,3.385455231
575.3739931,3.470368956,0.000472561,3.416787327
575.7052389,3.47037089,0.000476709,3.448763199
576.0368664,3.470372806,0.000480942,3.481391198
576.3688761,3.470374702,0.000485262,3.514686939
576.7012687,3.470376577,0.00048967,3.548658822
577.034045,3.470378428,0.000494168,3.583322522
577.3672055,3.470380255,0.000498757,3.618686491
577.700751,3.470382055,0.000503439,3.654766462
578.0346821,3.470383826,0.000508214,3.691563678
578.3689994,3.470385567,0.000513085,3.729101186
578.7037037,3.470387274,0.000518053,3.767387545
579.0387956,3.470388946,0.000523119,3.806431331
579.3742758,3.470390581,0.000528285,3.846248421
579.7101449,3.470392175,0.000533553,3.886854732
580.0464037,3.470393727,0.000538923,3.928251635
580.3830528,3.470395233,0.000544397,3.970455095
580.7200929,3.470396692,0.000549976,4.013473814
581.0575247,3.4703981,0.000555663,4.057331118
581.3953488,3.470399454,0.000561458,4.102028469
581.733566,3.470400751,0.000567362,4.147574646
582.0721769,3.470401987,0.000573377,4.193985758
582.4111823,3.470403161,0.000579505,4.241277954
582.7505828,3.470404267,0.000585745,4.289445452
583.090379,3.470405302,0.000592101,4.338519092
583.4305718,3.470406264,0.000598571,4.388485798
583.7711617,3.470407147,0.000605159,4.439376476
584.1121495,3.470407947,0.000611864,4.491185405
584.4535359,3.470408661,0.000618688,4.543928885
584.7953216,3.470409284,0.000625631,4.597608555
585.1375073,3.470409812,0.000632694,4.652233412
585.4800937,3.47041024,0.000639878,4.707812472
585.8230814,3.470410563,0.000647183,4.764347414
586.1664713,3.470410776,0.000654609,4.821839918
586.5102639,3.470410875,0.000662158,4.880306408
586.8544601,3.470410853,0.000669828,4.939733852
587.1990605,3.470410706,0.00067762,5.000131321
587.5440658,3.470410427,0.000685534,5.061500524
587.8894768,3.470410012,0.00069357,5.123843175
588.2352941,3.470409453,0.000701726,5.187146209
588.5815185,3.470408745,0.000710002,5.25141132
588.9281508,3.470407882,0.000718397,5.316632809
589.2751915,3.470406858,0.00072691,5.38280496
589.6226415,3.470405664,0.00073554,5.449922046
589.9705015,3.470404296,0.000744283,5.517956084
590.3187721,3.470402746,0.00075314,5.586916117
590.6674542,3.470401007,0.000762106,5.656766672
591.0165485,3.470399072,0.00077118,5.727501901
591.3660556,3.470396933,0.000780358,5.799093649
591.7159763,3.470394584,0.000789638,5.871528565
592.0663114,3.470392017,0.000799015,5.944770945
592.4170616,3.470389224,0.000808486,6.018799891
592.7682276,3.470386198,0.000818045,6.093572108
593.1198102,3.47038293,0.000827689,6.169066559
593.4718101,3.470379415,0.000837411,6.245232325
593.824228,3.470375643,0.000847205,6.322025829
594.1770648,3.470371607,0.000857067,6.399418323
594.530321,3.470367299,0.000866988,6.477343635
