item_id,type_id,category,x,y,z,length,width,height,weight,orientation_id,rotation,support_by,truck_id
G4_001,G4,oriented,0,0,0,80,60,50,25,1,LWH,,车型2
G4_002,G4,oriented,0,0,50,80,60,50,25,1,LWH,G4_001,车型2
G4_003,G4,oriented,0,0,100,80,60,50,25,1,LWH,G4_002,车型2
G4_004,G4,oriented,0,0,150,80,60,50,25,1,LWH,G4_003,车型2
G4_005,G4,oriented,0,60,0,80,60,50,25,1,LWH,,车型2
G4_006,G4,oriented,0,60,50,80,60,50,25,1,LWH,G4_005,车型2
G4_007,G4,oriented,0,60,100,80,60,50,25,1,LWH,G4_006,车型2
G4_008,G4,oriented,0,60,150,80,60,50,25,1,LWH,G4_007,车型2
G4_009,G4,oriented,0,120,0,80,60,50,25,1,LWH,,车型2
G4_010,G4,oriented,0,120,50,80,60,50,25,1,LWH,G4_009,车型2
G4_011,G4,oriented,0,120,100,80,60,50,25,1,LWH,G4_010,车型2
G4_012,G4,oriented,0,120,150,80,60,50,25,1,LWH,G4_011,车型2
G4_013,G4,oriented,0,180,0,80,60,50,25,1,LWH,,车型2
G4_014,G4,oriented,0,180,50,80,60,50,25,1,LWH,G4_013,车型2
G4_015,G4,oriented,0,180,100,80,60,50,25,1,LWH,G4_014,车型2
G4_016,G4,oriented,0,180,150,80,60,50,25,1,LWH,G4_015,车型2
G4_017,G4,oriented,80,0,0,80,60,50,25,1,LWH,,车型2
G4_018,G4,oriented,80,0,50,80,60,50,25,1,LWH,G4_017,车型2
G4_019,G4,oriented,80,0,100,80,60,50,25,1,LWH,G4_018,车型2
G4_020,G4,oriented,80,0,150,80,60,50,25,1,LWH,G4_019,车型2
G4_021,G4,oriented,80,60,0,80,60,50,25,1,LWH,,车型2
G4_022,G4,oriented,80,60,50,80,60,50,25,1,LWH,G4_021,车型2
G4_023,G4,oriented,80,60,100,80,60,50,25,1,LWH,G4_022,车型2
G4_024,G4,oriented,80,60,150,80,60,50,25,1,LWH,G4_023,车型2
G4_025,G4,oriented,80,120,0,80,60,50,25,1,LWH,,车型2
G4_026,G4,oriented,80,120,50,80,60,50,25,1,LWH,G4_025,车型2
G4_027,G4,oriented,80,120,100,80,60,50,25,1,LWH,G4_026,车型2
G4_028,G4,oriented,80,120,150,80,60,50,25,1,LWH,G4_027,车型2
G4_029,G4,oriented,80,180,0,80,60,50,25,1,LWH,,车型2
G4_030,G4,oriented,80,180,50,80,60,50,25,1,LWH,G4_029,车型2
